Geocode,School Code,Priority
1,4062,1
1,4061,1
1,4053,0
1,4360,1
1,4123,0
1,4640,0
1,4322,1
1,4590,0
1,4450,1
1,4022,0
1,4323,1
1,4541,1
1,4361,1
1,4345,0
1,4543,1
2,4062,1
2,4061,1
2,4053,0
2,4360,1
2,4123,0
2,4640,0
2,4322,1
2,4590,0
2,4450,1
2,4022,0
2,4323,1
2,4541,1
2,4361,1
2,4345,0
2,4543,1
3,4062,1
3,4061,1
3,4053,0
3,4360,1
3,4123,0
3,4640,0
3,4322,1
3,4590,0
3,4450,1
3,4022,0
3,4323,1
3,4541,1
3,4361,1
3,4345,0
3,4543,1
4,4062,1
4,4061,1
4,4053,0
4,4360,1
4,4123,0
4,4640,0
4,4322,1
4,4590,0
4,4450,1
4,4022,0
4,4323,1
4,4541,1
4,4361,1
4,4345,0
4,4543,1
5,4062,1
5,4061,1
5,4053,0
5,4360,1
5,4123,0
5,4640,0
5,4322,1
5,4590,0
5,4450,1
5,4022,0
5,4323,1
5,4541,1
5,4361,1
5,4345,0
5,4543,1
6,4062,1
6,4061,1
6,4053,0
6,4360,1
6,4123,0
6,4640,0
6,4322,1
6,4590,0
6,4450,1
6,4022,0
6,4323,1
6,4541,1
6,4361,1
6,4345,0
6,4543,1
7,4062,1
7,4061,1
7,4053,0
7,4360,1
7,4123,0
7,4640,0
7,4322,1
7,4590,0
7,4450,1
7,4022,0
7,4323,1
7,4541,1
7,4361,1
7,4345,0
7,4543,1
8,4062,1
8,4061,1
8,4053,0
8,4360,1
8,4123,0
8,4640,0
8,4322,1
8,4590,0
8,4450,1
8,4022,0
8,4323,1
8,4541,1
8,4361,1
8,4345,0
8,4543,1
9,4062,1
9,4061,1
9,4053,0
9,4360,1
9,4123,0
9,4640,0
9,4322,1
9,4590,0
9,4450,1
9,4022,0
9,4323,1
9,4541,1
9,4361,1
9,4345,0
9,4543,1
10,4062,1
10,4061,1
10,4053,0
10,4360,1
10,4123,0
10,4640,0
10,4322,1
10,4590,0
10,4450,1
10,4022,0
10,4323,1
10,4541,1
10,4361,1
10,4345,0
10,4543,1
11,4062,1
11,4061,1
11,4053,0
11,4360,1
11,4123,0
11,4640,0
11,4322,1
11,4590,0
11,4450,1
11,4022,0
11,4323,1
11,4541,1
11,4361,1
11,4345,0
11,4543,1
12,4062,1
12,4061,1
12,4053,0
12,4360,1
12,4123,0
12,4640,0
12,4322,1
12,4590,0
12,4450,1
12,4022,0
12,4323,1
12,4541,1
12,4361,1
12,4345,0
12,4543,1
13,4062,1
13,4061,1
13,4053,0
13,4360,1
13,4123,0
13,4640,0
13,4322,1
13,4590,0
13,4450,1
13,4022,0
13,4323,1
13,4541,1
13,4361,1
13,4345,0
13,4543,1
14,4062,1
14,4061,1
14,4053,0
14,4360,1
14,4123,0
14,4640,0
14,4322,1
14,4590,0
14,4450,1
14,4022,0
14,4323,1
14,4541,1
14,4361,1
14,4345,0
14,4543,1
15,4062,1
15,4061,1
15,4053,0
15,4360,1
15,4123,0
15,4640,0
15,4322,1
15,4590,0
15,4450,1
15,4022,0
15,4323,1
15,4541,1
15,4361,1
15,4345,0
15,4543,1
16,4062,1
16,4061,1
16,4053,0
16,4360,1
16,4123,0
16,4640,0
16,4322,1
16,4590,0
16,4450,1
16,4022,0
16,4323,1
16,4541,1
16,4361,1
16,4345,0
16,4543,1
17,4062,1
17,4061,1
17,4053,0
17,4360,1
17,4123,0
17,4640,0
17,4322,1
17,4590,0
17,4450,1
17,4022,0
17,4323,1
17,4541,1
17,4361,1
17,4345,0
17,4543,1
18,4062,1
18,4061,1
18,4053,0
18,4360,1
18,4123,0
18,4640,0
18,4322,1
18,4590,0
18,4450,1
18,4022,0
18,4323,1
18,4541,1
18,4361,1
18,4345,0
18,4543,1
19,4062,1
19,4280,0
19,4061,1
19,4053,0
19,4360,1
19,4123,0
19,4640,0
19,4322,1
19,4590,0
19,4450,1
19,4022,0
19,4323,1
19,4541,1
19,4361,1
19,4345,0
19,4543,1
20,4062,1
20,4280,0
20,4061,1
20,4053,0
20,4360,1
20,4123,0
20,4640,0
20,4322,1
20,4590,0
20,4450,1
20,4022,0
20,4323,1
20,4541,1
20,4361,1
20,4345,0
20,4543,1
21,4062,1
21,4381,0
21,4053,0
21,4360,1
21,4123,0
21,4640,0
21,4322,1
21,4061,1
21,4590,0
21,4450,1
21,4022,0
21,4323,1
21,4541,1
21,4361,1
21,4345,0
21,4543,1
22,4062,1
22,4381,0
22,4053,0
22,4360,1
22,4123,0
22,4640,0
22,4322,1
22,4061,1
22,4590,0
22,4450,1
22,4022,0
22,4323,1
22,4541,1
22,4361,1
22,4345,0
22,4543,1
23,4062,1
23,4280,0
23,4061,1
23,4053,0
23,4360,1
23,4123,0
23,4640,0
23,4322,1
23,4590,0
23,4450,1
23,4022,0
23,4323,1
23,4541,1
23,4361,1
23,4345,0
23,4543,1
24,4062,1
24,4280,0
24,4061,1
24,4053,0
24,4360,1
24,4123,0
24,4640,0
24,4322,1
24,4590,0
24,4450,1
24,4022,0
24,4323,1
24,4541,1
24,4361,1
24,4345,0
24,4543,1
25,4062,1
25,4280,0
25,4061,1
25,4053,0
25,4360,1
25,4123,0
25,4640,0
25,4322,1
25,4590,0
25,4450,1
25,4022,0
25,4323,1
25,4541,1
25,4361,1
25,4345,0
25,4543,1
26,4062,1
26,4280,0
26,4061,1
26,4053,0
26,4360,1
26,4123,0
26,4640,0
26,4322,1
26,4590,0
26,4450,1
26,4022,0
26,4323,1
26,4541,1
26,4361,1
26,4345,0
26,4543,1
27,4062,1
27,4280,0
27,4381,0
27,4053,0
27,4360,1
27,4123,0
27,4640,0
27,4322,1
27,4061,1
27,4590,0
27,4450,1
27,4022,0
27,4650,0
27,4323,1
27,4541,1
27,4361,1
27,4345,0
27,4543,1
28,4062,1
28,4381,0
28,4053,0
28,4360,1
28,4123,0
28,4640,0
28,4322,1
28,4061,1
28,4590,0
28,4450,1
28,4022,0
28,4323,1
28,4541,1
28,4361,1
28,4345,0
28,4543,1
29,4062,1
29,4381,0
29,4053,0
29,4360,1
29,4123,0
29,4640,0
29,4322,1
29,4061,1
29,4590,0
29,4450,1
29,4022,0
29,4650,0
29,4323,1
29,4541,1
29,4361,1
29,4345,0
29,4543,1
30,4062,1
30,4381,0
30,4053,0
30,4360,1
30,4123,0
30,4640,0
30,4322,1
30,4061,1
30,4590,0
30,4450,1
30,4022,0
30,4323,1
30,4541,1
30,4361,1
30,4345,0
30,4543,1
31,4062,1
31,4381,0
31,4053,0
31,4360,1
31,4123,0
31,4640,0
31,4322,1
31,4061,1
31,4590,0
31,4450,1
31,4022,0
31,4323,1
31,4541,1
31,4361,1
31,4345,0
31,4543,1
32,4062,1
32,4381,0
32,4053,0
32,4360,1
32,4123,0
32,4640,0
32,4322,1
32,4061,1
32,4590,0
32,4450,1
32,4022,0
32,4323,1
32,4541,1
32,4361,1
32,4345,0
32,4543,1
33,4062,1
33,4381,0
33,4053,0
33,4360,1
33,4123,0
33,4640,0
33,4322,1
33,4061,1
33,4590,0
33,4450,1
33,4022,0
33,4650,0
33,4323,1
33,4541,1
33,4361,1
33,4345,0
33,4543,1
34,4062,1
34,4381,0
34,4053,0
34,4360,1
34,4123,0
34,4640,0
34,4322,1
34,4061,1
34,4590,0
34,4450,1
34,4022,0
34,4650,0
34,4323,1
34,4541,1
34,4361,1
34,4345,0
34,4543,1
35,4062,1
35,4381,0
35,4053,0
35,4360,1
35,4123,0
35,4640,0
35,4322,1
35,4061,1
35,4590,0
35,4450,1
35,4022,0
35,4650,0
35,4323,1
35,4541,1
35,4361,1
35,4345,0
35,4543,1
36,4062,1
36,4061,1
36,4053,0
36,4360,1
36,4123,0
36,4640,0
36,4322,1
36,4590,0
36,4450,1
36,4022,0
36,4323,1
36,4541,1
36,4361,1
36,4345,0
36,4543,1
37,4283,1
37,4280,1
37,4381,1
37,4053,1
37,4123,1
37,4640,1
37,4322,0
37,4590,1
37,4450,0
37,4022,1
37,4650,1
37,4323,0
37,4345,1
37,4543,0
38,4283,1
38,4280,1
38,4381,1
38,4053,1
38,4123,1
38,4640,1
38,4322,0
38,4590,1
38,4450,0
38,4022,1
38,4650,1
38,4323,0
38,4345,1
38,4543,0
39,4283,1
39,4280,1
39,4381,1
39,4053,1
39,4360,0
39,4123,1
39,4640,1
39,4590,1
39,4450,0
39,4022,1
39,4650,1
39,4323,0
39,4345,1
39,4543,0
40,4283,1
40,4280,1
40,4381,1
40,4053,1
40,4123,1
40,4640,1
40,4322,0
40,4590,1
40,4450,0
40,4022,1
40,4650,1
40,4323,0
40,4345,1
40,4543,0
41,4283,1
41,4280,1
41,4381,1
41,4053,1
41,4123,1
41,4640,1
41,4322,0
41,4590,1
41,4450,0
41,4022,1
41,4650,1
41,4323,0
41,4345,1
41,4543,0
42,4283,1
42,4280,1
42,4381,1
42,4053,1
42,4123,1
42,4640,1
42,4322,0
42,4590,1
42,4450,0
42,4022,1
42,4650,1
42,4323,0
42,4345,1
42,4543,0
43,4283,1
43,4280,1
43,4381,1
43,4053,1
43,4123,1
43,4640,1
43,4322,0
43,4590,1
43,4450,0
43,4022,1
43,4650,1
43,4323,0
43,4345,1
43,4543,0
44,4283,1
44,4280,1
44,4381,1
44,4053,1
44,4123,1
44,4640,1
44,4322,0
44,4590,1
44,4450,0
44,4022,1
44,4650,1
44,4323,0
44,4345,1
44,4543,0
45,4283,1
45,4280,1
45,4381,1
45,4053,1
45,4123,1
45,4640,1
45,4322,0
45,4590,1
45,4450,0
45,4022,1
45,4650,1
45,4323,0
45,4345,1
45,4543,0
46,4283,1
46,4280,1
46,4381,1
46,4053,1
46,4123,1
46,4640,1
46,4322,0
46,4590,1
46,4450,0
46,4022,1
46,4650,1
46,4323,0
46,4345,1
46,4543,0
47,4283,1
47,4280,1
47,4381,1
47,4053,1
47,4123,1
47,4640,1
47,4322,0
47,4590,1
47,4450,0
47,4022,1
47,4650,1
47,4323,0
47,4345,1
47,4543,0
48,4283,1
48,4280,1
48,4381,1
48,4053,1
48,4123,1
48,4640,1
48,4322,0
48,4590,1
48,4450,0
48,4022,1
48,4650,1
48,4323,0
48,4345,1
48,4543,0
49,4283,1
49,4280,1
49,4381,1
49,4053,1
49,4123,1
49,4640,1
49,4322,0
49,4590,1
49,4450,0
49,4022,1
49,4650,1
49,4323,0
49,4345,1
49,4543,0
50,4283,1
50,4280,1
50,4381,1
50,4053,1
50,4123,1
50,4640,1
50,4322,0
50,4590,1
50,4450,0
50,4022,1
50,4650,1
50,4323,0
50,4345,1
50,4543,0
51,4283,1
51,4280,1
51,4381,1
51,4053,1
51,4123,1
51,4640,1
51,4322,0
51,4590,1
51,4450,0
51,4022,1
51,4650,1
51,4323,0
51,4345,1
51,4543,0
52,4283,1
52,4280,1
52,4381,1
52,4053,1
52,4123,1
52,4640,1
52,4322,0
52,4590,1
52,4450,0
52,4022,1
52,4650,1
52,4323,0
52,4345,1
52,4543,0
53,4283,1
53,4280,1
53,4381,1
53,4053,1
53,4123,1
53,4640,1
53,4322,0
53,4590,1
53,4450,0
53,4022,1
53,4650,1
53,4323,0
53,4345,1
53,4543,0
54,4283,1
54,4280,1
54,4381,1
54,4053,1
54,4123,1
54,4640,1
54,4322,0
54,4590,1
54,4450,0
54,4022,1
54,4650,1
54,4323,0
54,4345,1
54,4543,0
55,4283,1
55,4280,1
55,4381,1
55,4053,1
55,4123,1
55,4640,1
55,4322,0
55,4590,1
55,4450,0
55,4022,1
55,4650,1
55,4323,0
55,4345,1
55,4543,0
56,4283,1
56,4280,1
56,4381,1
56,4053,1
56,4123,1
56,4640,1
