Geocode,School Code,Priority
63,4640,1.0
63,4650,1.0
63,4280,1.0
63,4260,1.0
63,4590,1.0
63,4230,1.0
63,4592,1.0
63,4680,1.0
63,4630,1.0
63,4022,1.0
63,4283,0.020816955746724576
32,4280,1.0
32,4590,1.0
32,4283,1.0
32,4541,0.5034017242214238
32,4360,1.0
32,4381,1.0
32,4543,1.0
32,4323,1.0
32,4361,1.0
32,4322,1.0
32,4450,0.5034017242214238
379,4630,0.95543508990259
379,4022,0.95543508990259
379,4390,1.0
379,4250,1.0
379,4291,1.0
379,4055,1.0
379,4580,1.0
379,4350,0.95543508990259
379,4400,0.95543508990259
379,4084,1.0
379,4052,1.0
379,4345,1.0
379,4100,0.95543508990259
379,4151,1.0
379,4123,0.95543508990259
379,4690,1.0
379,4290,1.0
379,4391,0.95543508990259
379,4070,1.0
221,4640,0.9999999999999999
221,4590,0.9999999999999999
221,4592,0.5606281551670405
221,4630,0.9999999999999999
221,4022,0.9999999999999999
221,4100,0.9999999999999999
24,4640,1.0
24,4650,0.7481970535874751
24,4280,1.0
24,4590,1.0
24,4630,1.0
24,4283,0.7481970535874751
24,4541,0.7481970535874751
24,4360,0.7481970535874751
24,4381,0.7481970535874751
24,4543,0.7481970535874751
24,4323,0.7481970535874751
24,4361,0.7481970535874751
24,4322,0.7481970535874751
24,4450,0.7481970535874751
24,4620,1.0
24,4178,1.0
356,4640,0.938138306961373
356,4630,0.938138306961373
356,4022,0.938138306961373
356,4390,0.938138306961373
356,4250,1.0
356,4291,0.938138306961373
356,4055,1.0
356,4580,0.938138306961373
356,4350,0.938138306961373
356,4084,1.0
356,4052,1.0
356,4345,0.938138306961373
356,4100,0.938138306961373
356,4151,1.0
356,4290,1.0
356,4140,0.938138306961373
356,4130,0.938138306961373
374,4630,1.0
374,4022,1.0
374,4390,1.0
374,4250,1.0
374,4291,1.0
374,4055,1.0
374,4580,1.0
374,4350,1.0
374,4400,1.0
374,4084,1.0
374,4052,1.0
374,4345,1.0
374,4100,1.0
374,4151,1.0
374,4123,1.0
374,4290,1.0
374,4391,1.0
610,4230,1.0
610,4580,1.0
610,4620,1.0
610,4178,1.0
610,4231,1.0
610,4272,1.0
610,4570,1.0
610,4370,1.0
610,4270,1.0
574,4640,1.0
574,4230,1.0
574,4250,1.0
574,4580,1.0
574,4231,1.0
574,4272,0.5938595500062775
574,4370,1.0
574,4270,1.0
574,4242,1.0
574,4053,0.5938595500062775
574,4240,1.0
574,4560,1.0
106,4640,1.0
106,4650,1.0
106,4590,1.0
106,4592,0.17904894660589554
106,4680,1.0
106,4630,1.0
106,4022,1.0
106,4100,1.0
651,4230,1.0
651,4250,1.0
651,4580,1.0
651,4151,1.0
651,4690,1.0
651,4178,1.0
651,4231,1.0
651,4272,1.0
651,4370,1.0
651,4270,1.0
651,4053,1.0
651,4240,1.0
651,4560,1.0
651,4285,0.45230340326199886
584,4640,0.7771265877732505
584,4230,1.0
584,4250,1.0
584,4580,1.0
584,4231,0.7771265877732505
584,4272,0.7771265877732505
584,4570,1.0
584,4370,0.7771265877732505
584,4270,1.0
584,4242,1.0
584,4240,1.0
261,4640,1.0
261,4230,1.0
261,4680,0.5641624894277627
261,4630,0.5641624894277627
261,4250,1.0
261,4055,1.0
261,4580,1.0
261,4350,0.5641624894277627
261,4084,1.0
261,4052,1.0
261,4100,0.5641624894277627
261,4123,0.5641624894277627
261,4140,0.5641624894277627
261,4242,1.0
261,4240,1.0
261,4113,0.5641624894277627
261,4531,0.5641624894277627
261,4121,0.5641624894277627
261,4530,0.5641624894277627
261,4460,0.5641624894277627
442,4230,1.0
442,4250,1.0
442,4291,0.740492680409369
442,4055,1.0
442,4580,1.0
442,4350,0.740492680409369
442,4084,1.0
442,4052,1.0
442,4345,1.0
442,4151,1.0
442,4690,1.0
442,4290,1.0
442,4070,1.0
442,4130,0.740492680409369
442,4370,0.740492680409369
442,4270,0.740492680409369
442,4053,0.740492680409369
442,4240,1.0
442,4560,1.0
442,4460,0.740492680409369
442,4600,0.740492680409369
350,4640,0.9474205704734753
350,4230,0.9474205704734753
350,4630,0.9416489914045908
350,4022,0.9474205704734753
350,4390,0.9416489914045908
350,4250,1.0
350,4055,1.0
350,4580,0.9474205704734753
350,4350,0.9474205704734753
350,4400,0.376125332421696
350,4084,1.0
350,4052,1.0
350,4345,0.9474205704734753
350,4100,0.9474205704734753
350,4151,1.0
350,4123,0.376125332421696
350,4290,1.0
350,4140,0.9416489914045908
350,4530,0.9416489914045908
350,4460,0.376125332421696
167,4640,0.9999999999999999
167,4650,0.48652663457360756
167,4260,0.48652663457360756
167,4230,0.9999999999999999
167,4680,0.48652663457360756
167,4630,0.9999999999999999
167,4022,0.9999999999999999
167,4250,0.9999999999999999
167,4052,0.9999999999999999
167,4123,0.48652663457360756
167,4121,0.48652663457360756
677,4230,1.0
677,4690,1.0
677,4070,1.0
677,4178,0.8998590356067486
677,4272,0.6198337922119472
677,4560,1.0
677,4285,0.6198337922119472
677,4031,0.6198337922119472
677,4561,0.6198337922119472
677,4621,0.6198337922119472
677,4331,0.6198337922119472
677,4082,0.6198337922119472
677,4030,0.6198337922119472
677,4081,0.6198337922119472
677,4190,1.0
677,4210,0.6198337922119472
677,4311,0.6198337922119472
533,4690,1.0
533,4070,1.0
533,4560,1.0
533,4030,0.5420971309621397
533,4081,0.5420971309621397
533,4190,1.0
533,4193,0.5420971309621397
533,4201,1.0
533,4200,1.0
257,4640,1.0
257,4630,1.0
257,4022,1.0
257,4250,1.0
257,4055,1.0
257,4580,1.0
257,4350,1.0
257,4084,1.0
257,4052,1.0
257,4345,1.0
257,4100,1.0
257,4123,1.0
257,4242,1.0
257,4240,1.0
257,4121,1.0
257,4530,1.0
257,4460,1.0
454,4640,1.0000000000000002
454,4230,1.0000000000000002
454,4250,1.0000000000000002
454,4291,0.815685836463601
454,4055,1.0000000000000002
454,4580,1.0000000000000002
454,4350,1.0000000000000002
454,4084,1.0000000000000002
454,4052,1.0000000000000002
454,4345,1.0000000000000002
454,4100,0.815685836463601
454,4151,1.0000000000000002
454,4690,1.0000000000000002
454,4290,1.0000000000000002
454,4130,0.815685836463601
454,4270,1.0000000000000002
454,4242,1.0000000000000002
454,4053,0.815685836463601
454,4240,1.0000000000000002
644,4230,1.0
644,4250,1.0
644,4580,1.0
644,4178,1.0
644,4231,1.0
644,4272,1.0
644,4570,1.0
644,4370,1.0
644,4270,1.0
644,4053,1.0
644,4240,1.0
644,4560,1.0
644,4285,0.24939858767407813
644,4311,0.1596350987087215
701,4230,1.0
701,4690,1.0
701,4070,1.0
701,4178,1.0
701,4560,1.0
701,4031,0.48745534884937936
701,4331,0.48745534884937936
701,4082,0.48745534884937936
701,4030,0.48745534884937936
701,4081,1.0
701,4190,1.0
701,4311,0.48745534884937936
701,4201,1.0
701,4080,0.48745534884937936
472,4250,1.0
472,4084,1.0
472,4345,0.734550875960694
472,4151,1.0
472,4690,1.0
472,4290,1.0
472,4070,1.0
472,4560,1.0
472,4600,0.734550875960694
472,4190,1.0
472,4210,0.734550875960694
472,4201,0.734550875960694
472,4200,0.734550875960694
472,4440,0.734550875960694
51,4640,1.0
51,4650,1.0
51,4280,1.0
51,4592,1.0
51,4630,1.0
51,4283,1.0
264,4640,0.9999999999999999
264,4230,0.9999999999999999
264,4680,0.5781882715519904
264,4250,0.9999999999999999
264,4055,0.9999999999999999
264,4580,0.9999999999999999
264,4350,0.5781882715519904
264,4084,0.9999999999999999
264,4052,0.9999999999999999
264,4100,0.5781882715519904
264,4123,0.5781882715519904
264,4140,0.5781882715519904
264,4242,0.9999999999999999
264,4240,0.9999999999999999
264,4113,0.5781882715519904
264,4531,0.5781882715519904
264,4121,0.5781882715519904
264,4530,0.5781882715519904
264,4460,0.5781882715519904
55,4640,1.0
55,4650,1.0
55,4280,1.0
55,4592,1.0
55,4630,1.0
55,4283,1.0
55,4381,1.0
694,4230,1.0
694,4250,1.0
694,4690,1.0
694,4070,1.0
694,4620,1.0
694,4178,1.0
694,4272,0.703136652093645
694,4560,1.0
694,4285,0.703136652093645
694,4031,0.703136652093645
694,4621,0.703136652093645
694,4331,0.703136652093645
694,4082,0.703136652093645
694,4030,0.703136652093645
694,4081,0.703136652093645
694,4190,1.0
694,4311,0.703136652093645
694,4201,0.8912768209393219
150,4640,1.0
150,4650,0.7678147233096052
150,4260,0.7678147233096052
150,4590,0.7678147233096052
150,4230,0.7678147233096052
150,4680,0.7678147233096052
150,4630,0.7678147233096052
150,4022,0.7678147233096052
150,4570,0.7678147233096052
463,4230,1.0
463,4250,1.0
463,4291,0.6417678481357535
463,4055,1.0
463,4580,1.0
463,4084,1.0
463,4052,1.0
463,4345,1.0
463,4151,1.0
463,4123,0.6417678481357535
463,4690,1.0
463,4290,1.0
463,4070,1.0
463,4130,0.6417678481357535
463,4272,0.6417678481357535
463,4370,0.6417678481357535
463,4270,1.0
463,4242,1.0
463,4053,0.6417678481357535
463,4240,1.0
463,4560,1.0
463,4460,0.6417678481357535
463,4600,0.6417678481357535
463,4190,0.6417678481357535
463,4210,0.6417678481357535
569,4640,0.9999999999999998
569,4230,0.9999999999999998
569,4250,0.9999999999999998
569,4580,0.9999999999999998
569,4084,0.9999999999999998
569,4151,0.9999999999999998
569,4690,0.9999999999999998
569,4231,0.9999999999999998
569,4272,0.9999999999999998
569,4370,0.9999999999999998
569,4270,0.9999999999999998
569,4053,0.9999999999999998
569,4240,0.9999999999999998
569,4560,0.9999999999999998
569,4285,0.2887254937169001
569,4210,0.2887254937169001
569,4311,0.2887254937169001
835,4640,1.0
835,4230,1.0
835,4250,1.0
835,4291,0.7748873025747075
835,4055,1.0
835,4580,1.0
835,4084,1.0
835,4052,1.0
835,4345,1.0
835,4100,0.7748873025747075
835,4151,1.0
835,4123,0.7748873025747075
835,4690,1.0
835,4290,1.0
835,4070,1.0
835,4130,0.7748873025747075
835,4370,0.7748873025747075
835,4270,1.0
835,4242,1.0
835,4053,0.7748873025747075
835,4240,1.0
835,4560,1.0
835,4460,0.7748873025747075
830,4630,0.9999999999999999
830,4390,0.9999999999999999
830,4250,0.9999999999999999
830,4291,0.9999999999999999
830,4350,0.9999999999999999
830,4400,0.9999999999999999
830,4084,0.9999999999999999
830,4345,0.9999999999999999
830,4100,0.9999999999999999
830,4151,0.9999999999999999
830,4123,0.9999999999999999
830,4690,0.9999999999999999
830,4290,0.9999999999999999
830,4391,0.9999999999999999
830,4070,0.9999999999999999
830,4140,0.9999999999999999
830,4130,0.9999999999999999
830,4053,0.9999999999999999
830,4600,0.9216493522799715
830,4190,0.9999999999999999
830,4201,0.9999999999999999
664,4230,1.0000000000000002
664,4250,1.0000000000000002
664,4084,1.0000000000000002
664,4151,1.0000000000000002
664,4690,1.0000000000000002
664,4070,1.0000000000000002
664,4272,0.624512996778849
664,4370,0.624512996778849
664,4270,0.849460743236025
664,4053,0.624512996778849
664,4240,1.0000000000000002
664,4560,1.0000000000000002
664,4285,0.624512996778849
664,4561,0.624512996778849
664,4081,0.624512996778849
664,4190,0.624512996778849
664,4210,0.624512996778849
664,4311,0.624512996778849
664,4201,0.624512996778849
664,4661,0.624512996778849
428,4250,1.0
428,4291,0.7416550307261013
428,4580,1.0
428,4084,1.0
428,4345,1.0
428,4151,1.0
428,4690,1.0
428,4290,1.0
428,4070,1.0
428,4130,0.48499804189954987
428,4053,0.48499804189954987
428,4560,1.0
428,4600,1.0
428,4190,0.7416550307261013
428,4210,0.48499804189954987
428,4201,0.7416550307261013
407,4390,0.9159423694035724
407,4250,0.9999999999999999
407,4291,0.9999999999999999
407,4580,0.9999999999999999
407,4350,0.9159423694035724
407,4400,0.9159423694035724
407,4084,0.9999999999999999
407,4345,0.9999999999999999
407,4100,0.9159423694035724
407,4151,0.9999999999999999
407,4690,0.9999999999999999
407,4290,0.9999999999999999
407,4070,0.9999999999999999
407,4130,0.9159423694035724
407,4053,0.9159423694035724
407,4560,0.9999999999999999
407,4600,0.9159423694035724
407,4190,0.9159423694035724
407,4210,0.9159423694035724
407,4201,0.9159423694035724
407,4200,0.9159423694035724
407,4440,0.9159423694035724
465,4250,1.0
465,4291,1.0
465,4580,1.0
465,4084,1.0
465,4345,1.0
465,4151,1.0
465,4690,1.0
465,4290,1.0
465,4070,1.0
465,4130,1.0
465,4053,0.01199226582720499
465,4560,1.0
465,4600,1.0
465,4190,1.0
465,4210,0.01199226582720499
288,4640,0.9999999999999999
288,4230,0.9999999999999999
288,4680,0.8508794404294234
288,4250,0.9999999999999999
288,4580,0.9999999999999999
288,4052,0.9999999999999999
288,4231,0.9999999999999999
288,4570,0.9999999999999999
288,4270,0.9999999999999999
288,4242,0.9999999999999999
288,4240,0.9999999999999999
288,4460,0.8508794404294234
568,4640,0.7839794975325134
568,4230,0.9999999999999998
568,4250,0.9999999999999998
568,4055,0.9999999999999998
568,4580,0.9999999999999998
568,4084,0.9999999999999998
568,4052,0.9999999999999998
568,4290,0.9999999999999998
568,4272,0.7839794975325134
568,4370,0.7839794975325134
568,4270,0.9999999999999998
568,4242,0.9999999999999998
568,4053,0.7839794975325134
568,4240,0.9999999999999998
568,4113,0.7839794975325134
568,4460,0.7839794975325134
573,4640,0.9653338072713165
573,4230,1.0
573,4250,1.0
573,4580,1.0
573,4084,1.0
573,4231,0.9653338072713165
573,4272,0.9653338072713165
573,4570,1.0
573,4370,1.0
573,4270,1.0
573,4242,1.0
573,4053,0.9653338072713165
573,4240,1.0
573,4560,1.0
684,4690,1.0
684,4070,1.0
684,4560,1.0
684,4285,0.6088254662391859
684,4031,0.6088254662391859
684,4331,0.6088254662391859
684,4082,0.6088254662391859
684,4030,0.6088254662391859
684,4081,0.6088254662391859
684,4190,1.0
684,4311,0.6088254662391859
684,4201,0.6088254662391859
684,4200,0.6088254662391859
684,4080,0.6088254662391859
847,4640,1.0
847,4230,1.0
847,4680,0.6931147873760638
847,4630,0.6931147873760638
847,4022,0.6931147873760638
847,4250,1.0
847,4580,1.0
847,4052,1.0
847,4123,0.6931147873760638
847,4570,1.0
847,4270,0.6931147873760638
847,4242,1.0
847,4240,1.0
847,4113,0.6931147873760638
847,4121,0.6931147873760638
847,4460,0.6931147873760638
526,4151,1.0
526,4690,1.0
526,4070,1.0
526,4560,1.0
526,4190,0.9764734483284159
526,4193,0.9764734483284159
526,4201,1.0
526,4200,0.9764734483284159
482,4250,1.0
482,4084,1.0
482,4345,1.0
482,4151,1.0
482,4690,1.0
482,4290,1.0
482,4070,1.0
482,4560,1.0
482,4600,0.9227692680586601
482,4190,1.0
482,4210,0.9227692680586601
482,4201,1.0
482,4200,0.9227692680586601
482,4440,0.9227692680586601
681,4690,1.0
