Geocode,School Code,Priority
63,4640,1.0
63,4620,1.0
63,4650,1.0
63,4280,1.0
63,4570,1.0
63,4100,1.0
63,4590,1.0
63,4178,1.0
63,4230,1.0
63,4680,1.0
63,4630,1.0
63,4022,1.0
63,4260,0.6757968928686725
63,4123,0.6757968928686725
63,4592,0.6757968928686725
32,4640,0.25590898628646175
32,4620,0.25590898628646175
32,4650,1.0
32,4280,1.0
32,4590,1.0
32,4178,0.25590898628646175
32,4630,0.25590898628646175
32,4381,1.0
32,4541,0.7440910137135383
32,4360,0.7440910137135383
32,4543,0.7440910137135383
32,4323,0.7440910137135383
32,4361,0.7440910137135383
32,4322,0.7440910137135383
32,4283,0.7440910137135383
32,4450,0.7440910137135383
379,4640,0.9668424817071358
379,4100,0.9668424817071358
379,4630,0.9668424817071358
379,4022,0.9668424817071358
379,4084,0.9999999999999999
379,4290,0.9999999999999999
379,4390,0.9999999999999999
379,4151,0.9999999999999999
379,4052,0.9999999999999999
379,4250,0.9999999999999999
379,4055,0.9999999999999999
379,4070,0.9999999999999999
379,4291,0.9999999999999999
379,4345,0.9999999999999999
379,4580,0.9999999999999999
379,4690,0.9999999999999999
379,4350,0.9668424817071358
379,4400,0.9668424817071358
379,4391,0.9668424817071358
221,4640,1.0
221,4100,0.5904699101427655
221,4590,1.0
221,4630,1.0
221,4022,1.0
221,4592,0.5904699101427655
221,4052,0.40953008985723455
221,4250,1.0
24,4640,0.2565962785473619
24,4620,0.2565962785473619
24,4650,0.7434037214526381
24,4280,1.0
24,4590,1.0
24,4178,0.2565962785473619
24,4630,0.2565962785473619
24,4381,0.7434037214526381
24,4541,0.7434037214526381
24,4360,0.7434037214526381
24,4543,0.7434037214526381
24,4323,0.7434037214526381
24,4361,0.7434037214526381
24,4322,0.7434037214526381
24,4283,0.7434037214526381
24,4450,0.7434037214526381
24,4061,0.7434037214526381
356,4640,0.9162611943448454
356,4100,0.9162611943448454
356,4230,0.9162611943448454
356,4630,0.9162611943448454
356,4022,0.9162611943448454
356,4084,0.9999999999999999
356,4290,0.9999999999999999
356,4390,0.9162611943448454
356,4151,0.9999999999999999
356,4052,0.9999999999999999
356,4250,0.9999999999999999
356,4055,0.9999999999999999
356,4291,0.9162611943448454
356,4345,0.9162611943448454
356,4580,0.9162611943448454
356,4350,0.9162611943448454
356,4240,0.9999999999999999
356,4140,0.9162611943448454
356,4130,0.9162611943448454
374,4640,1.0
374,4100,1.0
374,4630,1.0
374,4022,1.0
374,4084,1.0
374,4290,1.0
374,4390,1.0
374,4151,1.0
374,4052,1.0
374,4250,1.0
374,4055,1.0
374,4291,1.0
374,4345,1.0
374,4580,1.0
374,4350,1.0
374,4400,1.0
610,4640,1.0
610,4620,1.0
610,4570,1.0
610,4178,1.0
610,4230,1.0
610,4250,1.0
610,4580,1.0
610,4240,1.0
610,4231,1.0
610,4272,1.0
610,4242,1.0
610,4053,1.0
610,4370,1.0
610,4560,1.0
610,4270,1.0
574,4640,0.5220076475291994
574,4570,0.5220076475291994
574,4230,1.0
574,4084,1.0
574,4052,1.0
574,4250,1.0
574,4055,0.47799235247080063
574,4580,1.0
574,4240,1.0
574,4231,1.0
574,4272,0.5220076475291994
574,4242,1.0
574,4053,0.5220076475291994
574,4370,1.0
574,4560,1.0
574,4270,1.0
106,4640,1.0
106,4650,1.0
106,4570,1.0
106,4100,1.0
106,4590,1.0
106,4230,1.0
106,4680,1.0
106,4630,1.0
106,4022,1.0
106,4052,1.0
651,4640,1.0
651,4570,1.0
651,4178,1.0
651,4230,1.0
651,4084,0.8010710781114728
651,4290,0.8010710781114728
651,4151,1.0
651,4052,0.8010710781114728
651,4250,1.0
651,4070,1.0
651,4580,1.0
651,4690,1.0
651,4240,1.0
651,4231,0.19892892188852718
651,4272,1.0
651,4242,0.8010710781114728
651,4053,1.0
651,4370,1.0
651,4560,1.0
651,4270,1.0
651,4285,0.19892892188852718
651,4311,0.19892892188852718
584,4640,1.0
584,4620,1.0
584,4570,1.0
584,4178,1.0
584,4230,1.0
584,4052,1.0
584,4250,1.0
584,4580,1.0
584,4240,1.0
584,4231,1.0
584,4272,0.4450357055030775
584,4242,1.0
584,4370,0.4450357055030775
584,4270,1.0
261,4640,1.0
261,4570,1.0
261,4100,1.0
261,4230,1.0
261,4680,1.0
261,4630,1.0
261,4022,1.0
261,4123,1.0
261,4052,1.0
261,4250,1.0
261,4055,1.0
261,4580,1.0
261,4350,1.0
261,4240,1.0
261,4140,1.0
261,4242,1.0
261,4270,1.0
261,4113,1.0
261,4121,1.0
261,4530,1.0
261,4460,1.0
442,4640,0.7193974195195789
442,4230,1.0
442,4084,1.0
442,4290,1.0
442,4151,1.0
442,4052,1.0
442,4250,1.0
442,4055,1.0
442,4070,1.0
442,4291,0.7193974195195789
442,4345,1.0
442,4580,1.0
442,4690,1.0
442,4350,0.7193974195195789
442,4240,1.0
442,4130,0.7193974195195789
442,4242,0.2806025804804211
442,4053,0.7193974195195789
442,4370,0.7193974195195789
442,4560,1.0
442,4270,0.7193974195195789
442,4460,0.7193974195195789
442,4600,0.7193974195195789
350,4640,1.0
350,4100,1.0
350,4230,1.0
350,4630,1.0
350,4022,1.0
350,4123,0.30465439423042157
350,4084,1.0
350,4290,1.0
350,4390,0.30465439423042157
350,4151,1.0
350,4052,1.0
350,4250,1.0
350,4055,1.0
350,4345,1.0
350,4580,1.0
350,4350,1.0
350,4400,0.30465439423042157
350,4240,0.6953456057695784
350,4140,1.0
350,4242,0.6953456057695784
350,4530,0.30465439423042157
350,4460,0.30465439423042157
167,4640,1.0
167,4650,1.0
167,4570,1.0
167,4100,1.0
167,4230,1.0
167,4680,1.0
167,4630,1.0
167,4022,1.0
167,4260,1.0
167,4123,1.0
167,4052,1.0
167,4250,1.0
167,4580,1.0
167,4121,1.0
677,4178,1.0
677,4230,1.0
677,4250,0.46480256202822096
677,4070,1.0
677,4690,1.0
677,4272,0.891711516977973
677,4053,0.891711516977973
677,4370,0.42690895494975206
677,4560,1.0
677,4270,0.891711516977973
677,4285,0.42690895494975206
677,4311,0.891711516977973
677,4190,1.0
677,4210,0.42690895494975206
677,4081,0.891711516977973
677,4621,0.42690895494975206
677,4331,0.42690895494975206
677,4201,0.891711516977973
677,4561,0.42690895494975206
677,4080,0.42690895494975206
677,4082,0.42690895494975206
533,4151,0.4643634771412834
533,4070,1.0
533,4690,1.0
533,4560,1.0
533,4190,1.0
533,4081,0.5356365228587167
533,4201,1.0
533,4200,1.0
533,4030,0.5356365228587167
533,4193,0.5356365228587167
257,4640,1.0
257,4100,1.0
257,4230,1.0
257,4630,1.0
257,4022,1.0
257,4123,1.0
257,4084,1.0
257,4052,1.0
257,4250,1.0
257,4055,1.0
257,4345,1.0
257,4580,1.0
257,4350,1.0
257,4240,1.0
257,4140,1.0
257,4242,1.0
257,4121,1.0
257,4530,1.0
257,4460,1.0
257,4531,1.0
454,4640,1.0
454,4100,0.3684871465897865
454,4230,1.0
454,4084,1.0
454,4290,1.0
454,4151,1.0
454,4052,1.0
454,4250,1.0
454,4055,1.0
454,4070,1.0
454,4291,0.7856273041746065
454,4345,1.0
454,4580,1.0
454,4690,1.0
454,4350,1.0
454,4240,1.0
454,4130,0.7856273041746065
454,4242,1.0
454,4053,0.7856273041746065
454,4560,0.7856273041746065
454,4270,1.0
644,4620,0.6644906239263827
644,4570,1.0
644,4178,1.0
644,4230,1.0
644,4250,1.0
644,4580,1.0
644,4690,0.6644906239263827
644,4240,1.0
644,4231,0.3355093760736173
644,4272,1.0
644,4242,0.6644906239263827
644,4053,0.3355093760736173
644,4370,1.0
644,4560,1.0
644,4270,1.0
644,4285,0.3355093760736173
644,4311,0.3355093760736173
701,4272,1.0
701,4560,1.0
701,4285,1.0
701,4311,1.0
701,4190,1.0
701,4210,1.0
701,4081,1.0
701,4331,1.0
701,4201,1.0
701,4561,1.0
701,4080,1.0
701,4082,1.0
701,4200,1.0
701,4030,1.0
701,4031,1.0
472,4084,0.9999999999999999
472,4290,0.9999999999999999
472,4151,0.9999999999999999
472,4250,0.9999999999999999
472,4070,0.9999999999999999
472,4345,0.7151565744894971
472,4580,0.7151565744894971
472,4690,0.9999999999999999
472,4053,0.7151565744894971
472,4560,0.9999999999999999
472,4600,0.7151565744894971
472,4190,0.9999999999999999
472,4210,0.7151565744894971
472,4201,0.7151565744894971
472,4200,0.7151565744894971
472,4440,0.7151565744894971
51,4640,1.0
51,4620,1.0
51,4650,1.0
51,4280,1.0
51,4178,1.0
51,4630,1.0
51,4592,1.0
51,4283,1.0
264,4640,1.0
264,4570,1.0
264,4100,1.0
264,4230,1.0
264,4680,1.0
264,4630,1.0
264,4022,1.0
264,4123,1.0
264,4084,1.0
264,4052,1.0
264,4250,1.0
264,4055,1.0
264,4580,1.0
264,4350,1.0
264,4240,1.0
264,4242,1.0
264,4270,1.0
264,4113,1.0
264,4121,1.0
264,4530,1.0
264,4460,1.0
55,4640,1.0
55,4650,1.0
55,4280,1.0
55,4630,1.0
55,4260,1.0
55,4592,1.0
55,4381,1.0
55,4283,1.0
694,4620,0.33301603985797057
694,4178,1.0
694,4230,0.33301603985797057
694,4250,0.33301603985797057
694,4070,0.33301603985797057
694,4690,0.33301603985797057
694,4240,0.33301603985797057
694,4272,0.6669839601420294
694,4560,1.0
694,4270,0.33301603985797057
694,4285,0.6669839601420294
694,4311,0.6669839601420294
694,4190,1.0
694,4210,0.6669839601420294
694,4081,0.6669839601420294
694,4621,0.6669839601420294
694,4331,0.6669839601420294
694,4201,1.0
694,4561,0.6669839601420294
694,4080,0.6669839601420294
694,4082,0.6669839601420294
694,4200,0.6669839601420294
694,4030,0.6669839601420294
694,4031,0.6669839601420294
150,4640,1.0
150,4650,1.0
150,4570,1.0
150,4590,1.0
150,4230,1.0
150,4680,1.0
150,4630,1.0
150,4022,1.0
150,4260,1.0
150,4580,1.0
150,4270,1.0
463,4640,0.6715275430802848
463,4230,1.0
463,4123,0.6715275430802848
463,4084,1.0
463,4290,1.0
463,4151,1.0
463,4052,1.0
463,4250,1.0
463,4055,1.0
463,4070,1.0
463,4291,0.6715275430802848
463,4345,1.0
463,4580,1.0
463,4690,1.0
463,4350,0.4209894689450551
463,4240,1.0
463,4130,0.6715275430802848
463,4242,0.3284724569197152
463,4053,0.6715275430802848
463,4370,0.6715275430802848
463,4560,1.0
463,4270,0.6715275430802848
463,4460,0.6715275430802848
463,4600,0.6715275430802848
463,4190,0.6715275430802848
463,4210,0.6715275430802848
569,4640,1.0
569,4570,1.0
569,4178,1.0
569,4230,1.0
569,4084,1.0
569,4290,0.813125281506479
569,4151,1.0
569,4052,0.813125281506479
569,4250,1.0
569,4055,0.813125281506479
569,4070,0.813125281506479
569,4345,0.186874718493521
569,4580,1.0
569,4690,1.0
569,4240,1.0
569,4231,0.186874718493521
569,4272,1.0
569,4242,0.813125281506479
569,4053,1.0
569,4370,1.0
569,4560,1.0
569,4270,1.0
569,4285,0.186874718493521
569,4311,0.186874718493521
569,4210,0.186874718493521
835,4640,0.7466315477984649
835,4100,0.7466315477984649
835,4230,1.0
835,4630,0.33085382650269946
835,4123,0.33085382650269946
835,4084,1.0
835,4290,1.0
835,4151,1.0
835,4052,1.0
835,4250,1.0
835,4055,1.0
835,4070,1.0
835,4291,0.7466315477984649
835,4345,1.0
835,4580,1.0
835,4690,1.0
835,4350,0.7466315477984649
835,4240,1.0
835,4130,0.7466315477984649
835,4242,1.0
835,4053,0.7466315477984649
835,4370,0.7466315477984649
835,4560,1.0
835,4270,1.0
835,4460,0.7466315477984649
830,4100,1.0
830,4630,1.0
830,4022,1.0
830,4123,1.0
830,4084,1.0
830,4290,1.0
830,4390,1.0
830,4151,1.0
830,4052,1.0
830,4250,1.0
830,4055,0.15695417856133456
830,4070,1.0
830,4291,1.0
830,4345,1.0
830,4580,1.0
830,4690,1.0
830,4350,1.0
830,4400,1.0
830,4391,1.0
830,4130,1.0
830,4053,0.8430458214386655
830,4560,1.0
830,4600,0.8430458214386655
830,4190,1.0
830,4201,1.0
664,4230,0.9999999999999999
664,4084,0.3790651651362533
664,4290,0.3790651651362533
664,4151,0.3790651651362533
664,4250,0.9999999999999999
664,4070,0.9999999999999999
664,4580,0.6209348348637466
664,4690,0.9999999999999999
664,4240,0.3790651651362533
664,4272,0.6209348348637466
664,4242,0.3790651651362533
664,4053,0.6209348348637466
664,4370,0.6209348348637466
664,4560,0.9999999999999999
664,4270,0.7657086432653911
664,4285,0.6209348348637466
664,4311,0.6209348348637466
664,4190,0.6209348348637466
664,4210,0.6209348348637466
664,4081,0.6209348348637466
664,4201,0.6209348348637466
664,4561,0.6209348348637466
664,4661,0.6209348348637466
428,4230,0.1994249300411011
428,4084,0.9999999999999998
428,4290,0.9999999999999998
428,4151,0.9999999999999998
428,4052,0.9999999999999998
