Geocode,School Code,Priority
0,0,1.0
0,130,1.0
0,131,1.0
0,133,1.0
0,135,1.0
0,8,1.0
0,9,1.0
0,10,1.0
0,136,1.0
0,12,1.0
0,138,1.0
0,140,1.0
0,141,1.0
0,142,1.0
0,143,1.0
0,144,1.0
0,147,1.0
0,149,1.0
0,22,1.0
0,151,1.0
0,153,1.0
0,26,1.0
0,155,1.0
0,28,1.0
0,29,1.0
0,31,1.0
0,159,1.0
0,33,1.0
0,34,1.0
0,39,1.0
0,41,1.0
0,42,1.0
0,43,1.0
0,44,1.0
0,47,1.0
0,48,1.0
0,50,1.0
0,51,1.0
0,52,1.0
0,54,1.0
0,56,1.0
0,61,1.0
0,63,1.0
0,64,1.0
0,67,1.0
0,68,1.0
0,71,1.0
0,73,1.0
0,75,1.0
0,77,1.0
0,78,1.0
0,80,1.0
0,83,1.0
0,85,1.0
0,88,1.0
0,89,1.0
0,90,1.0
0,92,1.0
0,93,1.0
0,96,1.0
0,98,1.0
0,100,1.0
0,107,1.0
0,109,1.0
0,110,1.0
0,111,1.0
0,112,1.0
0,115,1.0
0,116,1.0
0,117,1.0
0,119,1.0
0,121,1.0
0,122,1.0
0,123,1.0
0,125,1.0
0,127,1.0
1,133,1.0
1,142,1.0
1,159,1.0
1,41,1.0
1,64,1.0
1,67,1.0
1,73,1.0
1,75,1.0
1,78,1.0
1,89,1.0
1,137,1.0
1,146,1.0
1,152,1.0
1,154,1.0
1,27,1.0
1,37,1.0
1,53,1.0
1,66,1.0
1,74,1.0
1,101,1.0
2,0,1.0
2,130,1.0
2,131,1.0
2,133,1.0
2,135,1.0
2,8,1.0
2,9,1.0
2,10,1.0
2,136,1.0
2,12,1.0
2,138,1.0
2,140,1.0
2,141,1.0
2,142,1.0
2,143,1.0
2,144,0.9880872766229667
2,147,1.0
2,149,1.0
2,22,1.0
2,151,0.9880872766229667
2,153,1.0
2,26,1.0
2,155,1.0
2,28,1.0
2,29,1.0
2,31,1.0
2,159,1.0
2,33,1.0
2,34,1.0
2,39,1.0
2,41,1.0
2,42,1.0
2,43,0.9880872766229667
2,44,1.0
2,47,1.0
2,48,1.0
2,50,1.0
2,51,0.9880872766229667
2,52,1.0
2,54,1.0
2,56,1.0
2,61,1.0
2,63,1.0
2,64,1.0
2,67,1.0
2,68,1.0
2,71,1.0
2,73,1.0
2,75,1.0
2,77,1.0
2,78,1.0
2,80,1.0
2,83,1.0
2,85,1.0
2,88,1.0
2,89,1.0
2,90,1.0
2,92,1.0
2,93,1.0
2,96,1.0
2,98,1.0
2,100,1.0
2,107,1.0
2,109,1.0
2,110,1.0
2,111,1.0
2,112,1.0
2,115,1.0
2,116,1.0
2,117,1.0
2,119,1.0
2,121,1.0
2,122,1.0
2,123,0.9880872766229667
2,125,1.0
2,127,1.0
3,130,1.0
3,133,1.0
3,142,1.0
3,153,1.0
3,159,1.0
3,41,1.0
3,50,1.0
3,61,1.0
3,64,1.0
3,67,1.0
3,73,1.0
3,75,1.0
3,78,1.0
3,89,1.0
3,132,1.0
3,11,1.0
3,139,1.0
3,13,1.0
3,23,1.0
3,40,1.0
3,45,1.0
3,62,1.0
3,65,1.0
3,69,1.0
3,72,1.0
3,79,1.0
3,81,1.0
3,91,1.0
3,103,1.0
3,108,1.0
3,118,1.0
4,0,0.9999999999999982
4,130,0.9999999999999982
4,133,0.9999999999999982
4,135,0.4712200274456409
4,8,0.9999999999999982
4,9,0.9999999999999982
4,10,0.9999999999999982
4,136,0.9999999999999982
4,12,0.9999999999999982
4,138,0.9999999999999982
4,140,0.9999999999999982
4,141,0.9999999999999982
4,142,0.9999999999999982
4,143,0.9999999999999982
4,147,0.9999999999999982
4,149,0.9999999999999982
4,22,0.4712200274456409
4,153,0.9999999999999982
4,26,0.4712200274456409
4,28,0.4712200274456409
4,29,0.9999999999999982
4,31,0.4712200274456409
4,159,0.9999999999999982
4,33,0.9999999999999982
4,34,0.9999999999999982
4,39,0.9999999999999982
4,41,0.9999999999999982
4,42,0.9999999999999982
4,44,0.9999999999999982
4,47,0.9999999999999982
4,48,0.9999999999999982
4,50,0.9999999999999982
4,52,0.9999999999999982
4,54,0.9999999999999982
4,56,0.9999999999999982
4,61,0.9999999999999982
4,63,0.9999999999999982
4,64,0.9999999999999982
4,67,0.9999999999999982
4,68,0.9999999999999982
4,71,0.9999999999999982
4,73,0.9999999999999982
4,75,0.9999999999999982
4,77,0.4712200274456409
4,78,0.9999999999999982
4,80,0.9999999999999982
4,83,0.4712200274456409
4,85,0.9999999999999982
4,88,0.4712200274456409
4,89,0.9999999999999982
4,90,0.9999999999999982
4,92,0.9999999999999982
4,93,0.9999999999999982
4,96,0.9999999999999982
4,98,0.9999999999999982
4,100,0.4712200274456409
4,107,0.9999999999999982
4,110,0.9999999999999982
4,111,0.9999999999999982
4,112,0.9999999999999982
4,116,0.9999999999999982
4,117,0.9999999999999982
4,119,0.4712200274456409
4,121,0.9999999999999982
4,122,0.9999999999999982
4,125,0.9999999999999982
4,127,0.9999999999999982
5,0,1.0
5,130,1.0
5,131,1.0
5,133,1.0
5,135,1.0
5,8,1.0
5,9,1.0
5,10,1.0
5,136,1.0
5,12,1.0
5,138,1.0
5,140,1.0
5,141,1.0
5,142,1.0
5,143,1.0
5,147,1.0
5,149,1.0
5,22,1.0
5,151,1.0
5,153,1.0
5,26,1.0
5,155,1.0
5,28,1.0
5,29,1.0
5,31,1.0
5,159,1.0
5,33,1.0
5,34,1.0
5,39,1.0
5,41,1.0
5,42,1.0
5,44,1.0
5,47,1.0
5,48,1.0
5,50,1.0
5,52,1.0
5,54,1.0
5,56,1.0
5,61,1.0
5,63,1.0
5,64,1.0
5,67,1.0
5,68,1.0
5,71,1.0
5,73,1.0
5,75,1.0
5,77,1.0
5,78,1.0
5,80,1.0
5,83,1.0
5,85,1.0
5,88,1.0
5,89,1.0
5,90,1.0
5,92,1.0
5,93,1.0
5,96,1.0
