type_code,census_blockgroup,lang_match,student_count
0,60750101001,no_match,2
1,60750101002,cantonese,2
2,60750101002,no_match,5
3,60750101002,spanish,2
4,60750102001,no_match,3
5,60750102002,no_match,2
6,60750103001,no_match,4
7,60750103002,no_match,1
8,60750103003,no_match,3
9,60750104001,no_match,2
10,60750104002,no_match,2
11,60750104003,no_match,4
12,60750105002,no_match,7
13,60750106001,no_match,3
14,60750106002,cantonese,1
15,60750106002,no_match,1
16,60750106003,no_match,3
17,60750107001,cantonese,1
18,60750107002,cantonese,3
19,60750107002,no_match,1
20,60750107003,cantonese,3
21,60750107003,no_match,3
22,60750107004,cantonese,11
23,60750107004,no_match,2
24,60750108001,no_match,2
25,60750108002,cantonese,2
26,60750108002,no_match,5
27,60750108003,cantonese,1
28,60750108003,no_match,1
29,60750109001,cantonese,1
30,60750109001,no_match,3
31,60750109002,no_match,2
32,60750109003,cantonese,1
33,60750109003,no_match,3
34,60750110001,cantonese,2
35,60750110002,cantonese,3
36,60750110002,no_match,2
37,60750110003,cantonese,1
38,60750110003,no_match,1
39,60750111001,cantonese,1
40,60750111001,no_match,2
41,60750111001,spanish,1
42,60750111002,no_match,6
43,60750112001,cantonese,1
44,60750112002,cantonese,1
45,60750112002,no_match,1
46,60750112003,no_match,1
47,60750113001,cantonese,7
48,60750113001,no_match,6
49,60750113002,cantonese,2
50,60750117001,cantonese,1
51,60750117001,no_match,2
52,60750117002,no_match,2
53,60750118001,cantonese,6
54,60750118001,no_match,2
55,60750119011,no_match,1
56,60750120001,no_match,5
57,60750120002,no_match,2
58,60750121001,no_match,2
59,60750121002,no_match,1
60,60750122011,cantonese,1
61,60750122011,no_match,4
62,60750122011,spanish,2
63,60750122012,no_match,7
64,60750122021,cantonese,1
65,60750122021,no_match,3
66,60750122021,spanish,3
67,60750123012,cantonese,1
68,60750123012,no_match,1
69,60750123012,spanish,1
70,60750123021,no_match,1
71,60750123021,spanish,1
72,60750123022,cantonese,1
73,60750124011,no_match,5
74,60750124011,spanish,2
75,60750124012,no_match,6
76,60750124012,spanish,3
77,60750124021,no_match,3
78,60750124021,spanish,1
79,60750124022,no_match,2
80,60750124022,spanish,2
81,60750124023,no_match,5
82,60750124023,spanish,2
83,60750125011,no_match,8
84,60750125011,spanish,3
85,60750125012,no_match,2
86,60750125021,cantonese,1
87,60750125021,spanish,3
88,60750125022,cantonese,1
89,60750125022,no_match,4
90,60750125022,spanish,3
91,60750126011,no_match,8
92,60750127001,no_match,3
93,60750127002,no_match,1
94,60750128001,no_match,5
95,60750128002,no_match,3
96,60750128003,no_match,6
97,60750129011,no_match,3
98,60750129012,no_match,2
99,60750129021,no_match,2
100,60750129022,no_match,3
101,60750129022,spanish,1
102,60750130002,no_match,3
103,60750130003,no_match,3
104,60750130004,no_match,1
105,60750131012,no_match,2
106,60750131021,no_match,3
107,60750131022,no_match,3
108,60750132001,no_match,2
109,60750132002,no_match,2
110,60750133001,no_match,1
111,60750133002,no_match,1
112,60750133003,no_match,3
113,60750133004,no_match,1
114,60750133005,no_match,4
115,60750134001,no_match,1
116,60750134002,no_match,3
117,60750134003,no_match,4
118,60750135001,no_match,4
119,60750135002,no_match,2
120,60750151001,no_match,2
121,60750151002,no_match,1
122,60750152001,no_match,2
123,60750152002,cantonese,1
124,60750152002,no_match,2
125,60750152003,no_match,1
126,60750153001,no_match,4
127,60750153002,no_match,4
128,60750154001,no_match,2
129,60750154001,spanish,1
130,60750154002,no_match,2
131,60750154003,no_match,5
132,60750154004,no_match,6
133,60750154005,no_match,5
134,60750155001,no_match,4
135,60750155001,spanish,1
136,60750155002,no_match,4
137,60750155003,no_match,5
138,60750156001,no_match,2
139,60750156002,cantonese,1
140,60750156002,no_match,4
141,60750156003,no_match,2
142,60750157001,cantonese,1
143,60750157001,no_match,5
144,60750157002,no_match,10
145,60750157003,cantonese,1
146,60750157003,no_match,11
147,60750157004,no_match,1
148,60750158011,no_match,1
149,60750158012,no_match,7
150,60750158012,spanish,1
151,60750158013,cantonese,1
152,60750158013,no_match,7
153,60750158021,cantonese,1
154,60750158021,no_match,4
155,60750158022,no_match,7
156,60750159001,no_match,11
157,60750159001,spanish,1
158,60750159002,no_match,3
159,60750159002,spanish,1
160,60750160001,no_match,3
161,60750161001,no_match,1
162,60750161002,no_match,1
163,60750161002,spanish,1
164,60750161003,no_match,8
165,60750161003,spanish,1
166,60750161004,no_match,7
167,60750162002,no_match,1
168,60750162003,no_match,1
169,60750163001,no_match,6
170,60750163002,no_match,2
171,60750163002,spanish,1
172,60750163003,no_match,5
173,60750164001,no_match,6
174,60750164002,no_match,4
175,60750165001,no_match,5
176,60750165002,no_match,2
177,60750165002,spanish,1
178,60750165003,no_match,5
179,60750165004,no_match,3
180,60750166001,no_match,4
181,60750166002,no_match,2
182,60750166003,no_match,5
183,60750166004,no_match,2
184,60750166004,spanish,2
185,60750167001,no_match,9
186,60750167002,no_match,3
187,60750167004,no_match,3
188,60750167004,spanish,1
189,60750168011,no_match,1
190,60750168011,spanish,1
191,60750168012,no_match,3
192,60750168013,cantonese,1
193,60750168013,no_match,1
194,60750168021,no_match,2
195,60750168021,spanish,1
196,60750168022,no_match,5
197,60750168023,no_match,2
198,60750168023,spanish,1
199,60750169001,no_match,2
200,60750169002,no_match,3
201,60750170001,no_match,2
202,60750170002,no_match,5
203,60750170003,no_match,6
204,60750171011,no_match,5
205,60750171012,no_match,3
206,60750171013,no_match,3
207,60750171021,no_match,4
208,60750171021,spanish,1
209,60750171022,no_match,1
210,60750171023,no_match,2
211,60750176012,no_match,8
212,60750176013,cantonese,1
213,60750176013,no_match,5
214,60750176013,spanish,2
215,60750176014,cantonese,3
216,60750176014,no_match,4
217,60750176014,spanish,1
218,60750176015,no_match,6
219,60750176015,spanish,2
220,60750177001,no_match,1
221,60750177002,no_match,1
222,60750177002,spanish,5
223,60750178021,cantonese,4
224,60750178021,no_match,7
225,60750178021,spanish,2
226,60750178022,cantonese,1
227,60750178022,no_match,6
228,60750179021,no_match,13
229,60750179021,spanish,1
230,60750180001,no_match,1
231,60750180001,spanish,1
232,60750180002,no_match,5
233,60750201001,no_match,4
234,60750201001,spanish,1
235,60750201002,no_match,4
236,60750201002,spanish,1
237,60750201003,no_match,3
238,60750201003,spanish,5
239,60750201004,no_match,4
240,60750201004,spanish,2
241,60750202001,no_match,2
242,60750202002,cantonese,1
243,60750202002,no_match,5
244,60750202002,spanish,3
245,60750202003,no_match,5
246,60750202003,spanish,1
247,60750203001,no_match,2
248,60750203003,no_match,2
249,60750204011,no_match,2
250,60750204012,no_match,3
251,60750204021,no_match,7
252,60750204022,no_match,4
253,60750205001,no_match,6
254,60750205002,no_match,3
255,60750205003,no_match,2
256,60750206001,no_match,5
257,60750206002,no_match,1
258,60750206003,no_match,2
259,60750206004,no_match,5
260,60750207001,cantonese,1
261,60750207001,no_match,7
262,60750207001,spanish,1
263,60750207002,no_match,5
264,60750207003,no_match,2
265,60750208001,no_match,4
266,60750208001,spanish,5
267,60750208002,no_match,1
268,60750208002,spanish,6
269,60750208003,no_match,4
270,60750208003,spanish,2
271,60750208004,no_match,6
272,60750208004,spanish,4
273,60750209001,no_match,3
274,60750209001,spanish,5
275,60750209002,no_match,2
276,60750209002,spanish,4
277,60750209003,spanish,2
278,60750209004,no_match,1
279,60750209004,spanish,3
280,60750210001,no_match,1
281,60750210002,no_match,6
282,60750210003,no_match,5
283,60750210004,no_match,1
284,60750211001,no_match,4
285,60750211002,no_match,3
286,60750211003,no_match,1
287,60750211004,no_match,3
288,60750212001,no_match,6
289,60750212002,no_match,8
290,60750212003,no_match,3
291,60750213001,no_match,3
292,60750213002,no_match,11
293,60750214001,no_match,6
294,60750214002,no_match,6
295,60750214003,no_match,3
296,60750215001,no_match,1
297,60750215002,no_match,5
298,60750215003,no_match,2
299,60750215004,no_match,4
300,60750215005,no_match,6
301,60750216001,no_match,6
302,60750216002,no_match,4
303,60750217001,no_match,7
304,60750217002,no_match,7
305,60750217002,spanish,2
306,60750217003,no_match,8
307,60750217003,spanish,1
308,60750218001,no_match,3
309,60750218001,spanish,1
310,60750218002,no_match,3
311,60750218003,no_match,4
312,60750218004,no_match,6
313,60750218004,spanish,1
314,60750226001,no_match,4
315,60750226001,spanish,1
316,60750226002,no_match,5
317,60750227021,no_match,2
318,60750227022,no_match,5
319,60750227041,cantonese,1
320,60750227041,no_match,6
321,60750227041,spanish,1
322,60750227042,no_match,15
323,60750228011,spanish,2
324,60750228012,no_match,12
325,60750228012,spanish,3
326,60750228013,no_match,2
327,60750228013,spanish,5
328,60750228021,no_match,3
329,60750228022,no_match,3
330,60750228022,spanish,2
331,60750228031,no_match,3
332,60750228031,spanish,3
333,60750228032,cantonese,1
334,60750228032,no_match,3
335,60750228032,spanish,1
336,60750228033,no_match,5
337,60750228033,spanish,3
338,60750229011,no_match,5
339,60750229011,spanish,4
340,60750229012,no_match,3
341,60750229012,spanish,3
342,60750229013,no_match,1
343,60750229013,spanish,4
344,60750229021,no_match,3
345,60750229021,spanish,3
346,60750229022,spanish,2
347,60750229031,no_match,9
348,60750229031,spanish,3
349,60750229032,no_match,2
350,60750229032,spanish,4
351,60750229033,no_match,4
352,60750229033,spanish,1
353,60750230011,cantonese,1
354,60750230011,no_match,8
355,60750230011,spanish,2
356,60750230012,cantonese,4
357,60750230012,no_match,1
358,60750230012,spanish,2
359,60750230013,cantonese,9
360,60750230013,no_match,3
361,60750230031,cantonese,4
362,60750230031,no_match,9
363,60750230031,spanish,4
364,60750230032,cantonese,1
365,60750230032,no_match,5
366,60750230032,spanish,3
367,60750231021,cantonese,1
368,60750231021,no_match,7
369,60750231022,no_match,8
370,60750231022,spanish,8
371,60750231031,cantonese,1
372,60750231031,no_match,7
373,60750231031,spanish,2
374,60750231032,no_match,19
375,60750231032,spanish,9
376,60750232001,cantonese,1
377,60750232001,no_match,12
378,60750232001,spanish,3
379,60750232002,cantonese,2
380,60750232002,no_match,7
381,60750232002,spanish,7
382,60750232003,no_match,6
383,60750232003,spanish,5
384,60750233001,cantonese,5
385,60750233001,no_match,18
386,60750233001,spanish,6
387,60750234001,cantonese,2
388,60750234001,no_match,7
389,60750234001,spanish,3
390,60750234002,cantonese,1
391,60750234002,no_match,16
392,60750234002,spanish,7
393,60750251001,no_match,5
394,60750251001,spanish,2
395,60750251002,no_match,1
396,60750251003,no_match,4
397,60750252001,no_match,6
398,60750252002,no_match,4
399,60750252003,no_match,5
400,60750252004,no_match,7
401,60750253001,no_match,9
402,60750253001,spanish,1
403,60750253002,no_match,8
404,60750253002,spanish,1
405,60750253003,no_match,4
406,60750253003,spanish,3
407,60750253004,cantonese,1
408,60750253004,no_match,10
409,60750253004,spanish,2
410,60750254011,no_match,5
411,60750254011,spanish,2
412,60750254012,no_match,3
413,60750254013,no_match,4
414,60750254013,spanish,1
415,60750254021,no_match,6
416,60750254022,no_match,2
417,60750254023,no_match,9
418,60750254023,spanish,1
419,60750254031,cantonese,1
420,60750254031,no_match,8
421,60750254031,spanish,4
422,60750254032,no_match,11
423,60750254032,spanish,2
424,60750255001,cantonese,1
425,60750255001,no_match,10
426,60750255002,cantonese,3
427,60750255002,no_match,5
428,60750255002,spanish,1
429,60750255003,cantonese,1
430,60750255003,no_match,3
431,60750255003,spanish,1
432,60750255004,no_match,3
433,60750255004,spanish,2
434,60750255005,cantonese,2
435,60750255005,no_match,7
436,60750255005,spanish,2
437,60750255006,cantonese,1
438,60750255006,no_match,8
439,60750255006,spanish,2
440,60750256001,no_match,2
441,60750256001,spanish,1
442,60750256002,cantonese,3
443,60750256002,no_match,2
444,60750256002,spanish,1
445,60750256003,no_match,3
446,60750256004,cantonese,2
447,60750256004,no_match,8
448,60750256004,spanish,3
449,60750257011,cantonese,1
450,60750257011,no_match,5
451,60750257011,spanish,4
452,60750257012,cantonese,3
453,60750257012,no_match,11
454,60750257012,spanish,3
455,60750257013,cantonese,2
456,60750257013,no_match,2
457,60750257013,spanish,3
458,60750257021,cantonese,2
459,60750257021,no_match,9
460,60750257021,spanish,3
461,60750257022,cantonese,4
462,60750257022,no_match,10
463,60750257022,spanish,1
464,60750257023,cantonese,1
465,60750257023,no_match,2
466,60750258001,cantonese,1
467,60750258001,no_match,3
468,60750258001,spanish,1
469,60750258002,cantonese,3
470,60750258002,no_match,4
471,60750258002,spanish,1
472,60750259001,cantonese,1
473,60750259001,no_match,7
474,60750259002,cantonese,3
475,60750259002,no_match,8
476,60750259002,spanish,1
477,60750259003,no_match,4
478,60750259003,spanish,1
479,60750260011,cantonese,2
480,60750260011,no_match,9
481,60750260011,spanish,6
482,60750260012,cantonese,2
483,60750260012,no_match,15
484,60750260012,spanish,10
485,60750260021,cantonese,1
486,60750260021,no_match,2
487,60750260021,spanish,5
488,60750260022,cantonese,1
489,60750260022,no_match,6
490,60750260022,spanish,4
491,60750260031,cantonese,4
492,60750260031,no_match,5
493,60750260031,spanish,11
494,60750260032,cantonese,1
495,60750260032,no_match,11
496,60750260032,spanish,10
497,60750260041,cantonese,5
498,60750260041,no_match,8
499,60750260041,spanish,5
500,60750260042,cantonese,7
501,60750260042,no_match,3
502,60750260042,spanish,3
503,60750261001,cantonese,2
504,60750261001,no_match,3
505,60750261002,cantonese,3
506,60750261002,no_match,7
507,60750261002,spanish,8
508,60750261003,cantonese,4
509,60750261003,no_match,5
510,60750261003,spanish,3
511,60750261004,cantonese,1
512,60750261004,no_match,1
513,60750261004,spanish,2
514,60750262001,cantonese,1
515,60750262001,no_match,6
516,60750262001,spanish,3
