program_idx,program_id,frl,capacity
0,413-GE-KG,8.556439185709703,96
1,413-SA-KG,0.0,3
2,420-GE-KG,1.7996320594477386,48
3,420-MS-KG,0.0,3
4,420-SE-KG,4.310670607203692,18
5,420-SN-KG,1.2229065984396228,26
6,435-GE-KG,7.75528696493622,92
7,449-FB-KG,1.952380952380952,22
8,449-GE-KG,13.293752849265516,72
9,453-GE-KG,2.7675884129509942,24
10,453-SE-KG,0.0,9
11,453-SN-KG,2.2164257753688648,13
12,456-GE-KG,1.795128847760426,24
13,456-SB-KG,4.1720887932826445,22
14,476-NC-KG,0.0,15
15,478-GE-KG,5.124298965028622,44
16,478-JE-KG,3.273228623736788,34
17,478-JN-KG,0.0,10
18,478-MM-KG,0.0,2
19,479-GE-KG,8.70548621159945,66
20,479-KE-KG,1.5180049296929685,9
21,479-KN-KG,1.9517147620879824,13
22,481-GE-KG,2.2368480129082036,22
23,481-SB-KG,7.885351838479309,40
24,485-CE-KG,6.886801384422217,44
25,485-CT-KG,3.645470353865169,22
26,488-GE-KG,8.684279559962906,72
27,490-CB-KG,16.641480621275896,88
28,490-GE-KG,7.2770709554815305,48
29,493-GE-KG,6.614518212404204,40
30,497-GE-KG,2.39671919573933,25
31,497-SE-KG,2.591121303010593,18
32,497-SN-KG,1.892943089430894,26
33,505-GE-KG,4.63921406632088,48
34,507-GE-KG,3.4713930426478825,48
35,509-CE-KG,3.206663291672504,27
36,509-CN-KG,6.823925842019877,39
37,513-CB-KG,12.084399896245571,44
38,513-ED-KG,0.0,2
39,513-GE-KG,7.7859962052384715,48
40,513-SB-KG,5.088278290815148,22
41,521-GE-KG,3.0823542663835783,50
42,525-GE-KG,1.2238805970149254,50
43,537-MS-KG,0.0,4
44,537-SE-KG,5.63307247183932,27
45,537-SN-KG,3.5632747768009714,39
46,539-ED-KG,0.0,2
47,539-GE-KG,9.29178429958337,96
48,544-GE-KG,10.871776061350415,96
49,544-MS-KG,0.0,3
50,549-GE-KG,4.001794622778318,48
51,562-AF-KG,0.0,6
52,562-CE-KG,2.959682138958798,9
53,562-CN-KG,1.5299999999999998,13
54,562-GE-KG,2.219405594405594,24
55,569-GE-KG,5.816472429527677,48
56,575-GE-KG,5.219344384366499,48
57,575-SA-KG,0.0,4
58,575-SB-KG,2.763419504115459,22
59,589-GE-KG,5.756982606157002,72
60,589-SA-KG,0.0,2
61,593-GE-KG,5.684434001320136,72
62,593-SB-KG,4.625116471201374,22
63,603-DT-KG,0.0,10
64,603-GE-KG,2.6160857669660373,50
65,603-SB-KG,1.5082331042382595,44
66,614-CB-KG,2.1532623440043412,22
67,614-GE-KG,5.167687336756364,50
68,614-MM-KG,0.0,4
69,614-SB-KG,7.144207372358478,22
70,618-MM-KG,0.0,4
71,618-SE-KG,8.084371420221231,27
72,618-SN-KG,7.925077685584932,39
73,625-GE-KG,3.101191986782366,48
74,638-CB-KG,3.804380341880342,22
75,638-GE-KG,2.9355789394858762,24
76,644-AF-KG,0.0,2
77,644-GE-KG,8.22407583346578,88
78,650-GE-KG,2.1913729250314624,50
79,650-SB-KG,2.517420269659076,22
80,656-GE-KG,2.764242842208943,50
81,656-SB-KG,2.073475847893114,22
82,664-DA-KG,0.0,4
83,664-GE-KG,7.24067479968245,96
84,670-AF-KG,0.0,1
85,670-GE-KG,10.189218370373563,96
86,676-GE-KG,11.57305955086009,66
87,676-MS-KG,0.0,3
88,680-ED-KG,0.0,2
89,680-GE-KG,2.6082575710938496,48
90,680-SE-KG,3.3027053261702912,18
91,680-SN-KG,3.1140224311635913,26
92,691-FB-KG,0.504672897196262,22
93,691-GE-KG,6.598391135546238,48
94,691-MM-KG,0.0,1
95,691-SB-KG,1.4671655879180148,22
96,714-SE-KG,2.643757309376364,18
97,714-SN-KG,4.4072073682344834,26
98,718-GE-KG,4.842607191866852,72
99,722-AF-KG,0.0,5
100,722-GE-KG,7.261755350243436,72
101,723-CB-KG,6.0812084061477325,22
102,723-GE-KG,2.738355089620574,24
103,723-SB-KG,5.0394822184190255,22
104,724-NS-KG,0.0,28
105,729-CB-KG,7.672523545435815,22
106,729-GE-KG,1.1095238095238091,24
107,729-SE-KG,6.864872006585905,18
108,729-SN-KG,4.968917092286821,26
109,735-GE-KG,2.2358791708326975,48
110,746-GE-KG,7.4614574609117135,48
111,746-ME-KG,3.8265376608920674,9
112,746-MN-KG,1.346609620194525,13
113,750-GE-KG,10.982610081565893,66
114,750-SA-KG,0.0,3
115,760-GE-KG,5.421982188297785,24
116,760-MM-KG,0.0,4
117,760-SE-KG,3.671205211003473,18
118,760-SN-KG,5.208965176092678,26
119,782-GE-KG,14.413562944170058,72
120,782-MM-KG,0.0,3
121,786-GE-KG,4.944988779212489,44
122,786-JE-KG,5.4205076730710635,34
123,786-JN-KG,0.0,10
124,786-MM-KG,0.0,4
125,790-GE-KG,8.03056300612949,50
126,796-GE-KG,6.1939778788543265,66
127,801-GE-KG,4.737371214000744,48
128,801-SA-KG,0.0,3
129,814-GE-KG,3.0643768609136557,32
130,816-GE-KG,1.9015037350390158,24
131,816-MS-KG,0.0,3
132,816-SB-KG,2.238620758037728,44
133,820-GE-KG,1.394896351072858,50
134,823-AF-KG,0.3333333333333336,4
135,823-GE-KG,8.558064261660293,72
136,830-GE-KG,5.692916788777785,24
137,834-CB-KG,4.145886380457593,22
138,834-GE-KG,4.566253172172258,24
139,834-SB-KG,4.130837909918985,22
140,838-GE-KG,1.6258980785296568,25
141,838-ME-KG,2.541089970887572,18
142,838-MN-KG,2.268747781364863,26
143,838-SA-KG,0.0,4
144,842-GE-KG,9.54417126705087,72
145,842-MS-KG,0.0,4
146,848-CB-KG,3.6045005012658815,22
147,848-GE-KG,2.167971210076473,24
148,859-ED-KG,0.0,2
149,859-GE-KG,12.4889640506333,75
150,862-CB-KG,8.831681225026252,22
151,862-GE-KG,8.667455902475554,66
152,867-CB-KG,2.801548924019537,22
153,867-GE-KG,6.531022889281226,48
154,872-CB-KG,6.756420358217026,22
155,872-GE-KG,1.7179361179361177,24
156,876-CE-KG,2.874964044093633,15
157,876-CN-KG,5.3006901435361815,18
158,876-GE-KG,6.830177461931096,66
