type_code,census_blockgroup,lang_match
0,60750101001,no_match
1,60750101002,cantonese
2,60750101002,no_match
3,60750101002,spanish
4,60750102001,no_match
5,60750102002,no_match
6,60750103001,no_match
7,60750103002,no_match
8,60750103003,no_match
9,60750104001,no_match
10,60750104002,no_match
11,60750104003,no_match
12,60750105002,no_match
13,60750106001,no_match
14,60750106002,cantonese
15,60750106002,no_match
16,60750106003,no_match
17,60750107001,cantonese
18,60750107002,cantonese
19,60750107002,no_match
20,60750107003,cantonese
21,60750107003,no_match
22,60750107004,cantonese
23,60750107004,no_match
24,60750108001,no_match
25,60750108002,cantonese
26,60750108002,no_match
27,60750108003,cantonese
28,60750108003,no_match
29,60750109001,cantonese
30,60750109001,no_match
31,60750109002,no_match
32,60750109003,cantonese
33,60750109003,no_match
34,60750110001,cantonese
35,60750110002,cantonese
36,60750110002,no_match
37,60750110003,cantonese
38,60750110003,no_match
39,60750111001,cantonese
40,60750111001,no_match
41,60750111001,spanish
42,60750111002,no_match
43,60750112001,cantonese
44,60750112002,cantonese
45,60750112002,no_match
46,60750112003,no_match
47,60750113001,cantonese
48,60750113001,no_match
49,60750113002,cantonese
50,60750117001,cantonese
51,60750117001,no_match
52,60750117002,no_match
53,60750118001,cantonese
54,60750118001,no_match
55,60750119011,no_match
56,60750120001,no_match
57,60750120002,no_match
58,60750121001,no_match
59,60750121002,no_match
60,60750122011,cantonese
61,60750122011,no_match
62,60750122011,spanish
63,60750122012,no_match
64,60750122021,cantonese
65,60750122021,no_match
66,60750122021,spanish
67,60750123012,cantonese
68,60750123012,no_match
69,60750123012,spanish
70,60750123021,no_match
71,60750123021,spanish
72,60750123022,cantonese
73,60750124011,no_match
74,60750124011,spanish
75,60750124012,no_match
76,60750124012,spanish
77,60750124021,no_match
78,60750124021,spanish
79,60750124022,no_match
80,60750124022,spanish
81,60750124023,no_match
82,60750124023,spanish
83,60750125011,no_match
84,60750125011,spanish
85,60750125012,no_match
86,60750125021,cantonese
87,60750125021,spanish
88,60750125022,cantonese
89,60750125022,no_match
90,60750125022,spanish
91,60750126011,no_match
92,60750127001,no_match
93,60750127002,no_match
94,60750128001,no_match
95,60750128002,no_match
96,60750128003,no_match
97,60750129011,no_match
98,60750129012,no_match
99,60750129021,no_match
100,60750129022,no_match
101,60750129022,spanish
102,60750130002,no_match
103,60750130003,no_match
104,60750130004,no_match
105,60750131012,no_match
106,60750131021,no_match
107,60750131022,no_match
108,60750132001,no_match
109,60750132002,no_match
110,60750133001,no_match
111,60750133002,no_match
112,60750133003,no_match
113,60750133004,no_match
114,60750133005,no_match
115,60750134001,no_match
116,60750134002,no_match
117,60750134003,no_match
118,60750135001,no_match
119,60750135002,no_match
120,60750151001,no_match
121,60750151002,no_match
122,60750152001,no_match
123,60750152002,cantonese
124,60750152002,no_match
125,60750152003,no_match
126,60750153001,no_match
127,60750153002,no_match
128,60750154001,no_match
129,60750154001,spanish
130,60750154002,no_match
131,60750154003,no_match
132,60750154004,no_match
133,60750154005,no_match
134,60750155001,no_match
135,60750155001,spanish
136,60750155002,no_match
137,60750155003,no_match
138,60750156001,no_match
139,60750156002,cantonese
140,60750156002,no_match
141,60750156003,no_match
142,60750157001,cantonese
143,60750157001,no_match
