Geocode,Distance,Busing,Utility,Top1,Top3,Cohesion,NumPeople,NumChoices,NumBusingChoices,Weight,Area,BusingArea
2,2.202457365752414,1.8501644245466955,5.349061180003607,0.796668,0.866187,1.523172,10.0,15,13,10.0,0.3890154238,
3,2.2390480693942,1.860707479464189,5.338640049139995,0.79603,0.86627,0.15932,2.0,15,13,2.0,0.2760310972,
4,2.2500507412976773,1.8584242484497342,5.400461416447736,0.7896,0.86325,1.40511,1.0,15,13,1.0,0.0770043706,
5,2.0804356531247334,1.7648967502205901,5.577555677162691,0.79115,0.864132,4.268778,5.0,15,13,5.0,0.0393096643,
6,1.9620369928045462,1.700698486336195,5.693698679381689,0.791122,0.864362,4.263212,5.0,15,13,5.0,0.0458151799,
7,1.7622767264363541,1.6376278756412985,5.795496236099085,0.7938207692307693,0.8646992307692307,6.486433076923077,13.0,15,13,13.0,0.0824629737,
8,1.7189327840396416,1.6269103048448073,5.801743649105335,0.7984466666666666,0.86648,4.1781733333333335,3.0,15,13,3.0,0.0761629178,
9,2.2797106489083805,1.8783687225819299,5.326119664190941,0.7944328571428572,0.8654685714285715,0.9393485714285714,7.0,15,13,7.0,0.1292183286,
10,1.893488016826662,1.6846376632650086,5.704087809784377,0.793738,0.865153,4.893175,10.0,15,13,10.0,0.1426939387,
12,1.9720137190223466,1.5327376928250176,5.809252342887657,0.7858757142857142,0.8637528571428571,3.367167142857143,7.0,15,12,7.0,0.2309788326,
13,1.9794481091622917,1.3987918277062572,5.812146515621976,0.78455,0.86158,0.84863,1.0,15,11,1.0,0.1624242913,
14,1.7878293699499697,1.1856540141775338,6.0989969515642635,0.7807458823529412,0.8622211764705883,3.6937141176470587,17.0,15,10,17.0,0.105658234,
15,1.7017650403271336,0.8106851367637696,6.288864489372196,0.778784,0.861686,6.114466,5.0,15,7,5.0,0.1285449537,
16,1.7048468958289607,0.8801504814606039,6.234712360509,0.7760633333333333,0.8617508333333334,10.900963333333333,12.0,15,8,12.0,0.2043880217,
17,1.470604474612197,0.9729185487475595,6.406538031719241,0.7757434482758621,0.8625368965517242,11.066344137931035,29.0,15,9,29.0,0.0815861921,
19,1.189913228165207,0.8036962856727607,6.791671002386515,0.7758696153846154,0.866866923076923,25.061006153846154,26.0,16,10,26.0,0.0449409268,
20,1.1521883959418269,0.7955765970056135,6.827650679788014,0.77535125,0.8665025,19.76275,16.0,16,10,16.0,0.0306728157,
21,1.2266392369326602,0.9147793856622831,6.609350883896618,0.7563208695652174,0.8602326086956522,18.33398391304348,23.0,16,9,23.0,0.0602429761,
22,1.2511933562827213,0.8923006134191698,6.5912152610386485,0.757966,0.8630076,25.8276968,25.0,16,9,25.0,0.0302497412,
23,1.1200086151694624,0.3394854714878155,6.8865750627546,0.7842515789473684,0.8748681578947368,24.794860789473685,38.0,16,9,38.0,0.0848894808,
24,1.189807922939049,0.3433801494585844,6.820494141879414,0.7858418918918919,0.8778818918918919,19.74192810810811,37.0,16,9,37.0,0.0827321183,
25,1.3611049597971976,0.5018033177161776,6.658867103873272,0.7816673333333334,0.8764246666666666,10.718216,15.0,16,10,15.0,0.1683724611,
26,1.1698754946974452,0.3030806635017948,6.814238919665416,0.7897554545454546,0.8817036363636364,17.312487727272728,22.0,16,9,22.0,0.0904069507,
27,1.2507034001515829,0.3866482346803269,6.723377983199052,0.763134,0.870698,7.223796,5.0,18,10,5.0,0.0491357218,
28,1.257794724683556,0.9157414267821371,6.5636665228572575,0.7606111111111111,0.86256,18.163596666666667,9.0,16,9,9.0,0.063622946,
29,1.232371740899998,0.9252015694322443,6.593627110857694,0.75851,0.861476875,16.656545,16.0,17,10,16.0,0.0687979958,
30,1.2734442504380747,0.9510066562335218,6.510257150257199,0.7674003571428571,0.8648485714285714,13.6275325,28.0,16,9,28.0,0.0822935862,
32,1.4184420259236799,1.0028072039193365,6.3560270051879915,0.7684677777777777,0.8641311111111111,9.387236666666666,9.0,16,9,9.0,0.0673395168,
33,1.425030706997891,1.0089659456672166,6.33318160672668,0.7675725,0.8652335,9.04697,20.0,17,10,20.0,0.074885755,
34,1.5334552984453031,1.0391277930705212,6.204328333647924,0.76897,0.8664,5.764485,8.0,17,10,8.0,0.1345103134,
