Geocode,Distance,Busing,Utility,Top1,Top3,Cohesion,NumPeople,NumChoices,NumBusingChoices,Weight,Area,BusingArea
1,3.5921416008928393,3.10702840565115,4.584104218514564,0.7050737608067479,0.7750792592332619,0.1155137519156752,0.85479,15,13,0.85479,0.2722748603,
2,3.2379553764814006,2.9289976844539787,4.91161290548418,0.7042580031702053,0.7727899704054247,1.4507055055099047,10.01197,15,13,10.01197,0.3890154238,
3,3.2614015343027023,2.9275482421431738,4.899028511829295,0.7035362034310289,0.7732318982844856,0.11660356191277521,0.85572,15,13,0.85572,0.2760310972,
4,3.2138492193632064,2.863033264262655,5.038548901019365,0.6996834516322461,0.7733471852296021,1.1066991117122895,1.43422,15,13,1.43422,0.0770043706,
5,3.047944735174715,2.764617847915139,5.184823569835521,0.7003391199972031,0.7724788389898652,3.4292645407895708,2.57431,15,13,2.57431,0.0393096643,
6,2.932230459608299,2.6982988874701896,5.31013761747548,0.6999516644898547,0.7726421012577517,3.4243754949247713,4.86185,15,13,4.86185,0.0458151799,
7,2.782167049434777,2.671602593034496,5.379599304816158,0.7044106862043676,0.773116295583038,6.141245779472862,11.15382,15,13,11.15382,0.0824629737,
8,2.7625930729893677,2.6820495554532733,5.37078462164644,0.7054477089891571,0.7730616765768917,4.414885740935059,3.4308,15,13,3.4308,0.0761629178,
9,3.2785171174834744,2.9246905845892828,4.918361550976497,0.7020514516027457,0.7726968182995011,1.5558826822287997,11.43288,15,13,11.43288,0.1292183286,
10,2.891510848556573,2.706821119996541,5.298408354777676,0.7036967883042214,0.7738441893617453,5.076175741320019,16.28143,15,13,16.28143,0.1426939387,
12,2.896601350011911,2.4974246723889504,5.487499987168279,0.6877728493543788,0.7703833901561548,4.663100884701016,20.28821,15,12,20.28821,0.2309788326,
13,2.927558089273585,2.403825730644325,5.511609361239875,0.6920665658936869,0.770383889326191,0.9330927784782351,1.43557,15,11,1.43557,0.1624242913,
14,2.69187770604102,2.1500025195000805,5.846780442085757,0.6862802093786935,0.7689034033632892,5.176388680365611,17.71718,15,10,17.71718,0.105658234,
15,2.601938834084225,1.8218721048140862,6.137801151540787,0.6732537773522337,0.7648046519231219,6.815154947338923,8.5642,15,7,8.5642,0.1285449537,
16,2.563333347944567,1.8283308534648237,6.105572678445172,0.671668827114696,0.7663279476117016,11.527825684040774,14.28716,15,8,14.28716,0.2043880217,
17,2.3391191428927507,1.8855114412190905,6.232982261983358,0.6677262846514129,0.7646407121887816,11.80027200098604,35.6984,15,9,35.6984,0.0815861921,
19,1.8034507087930556,1.451809402540716,6.978277088008843,0.6700265528120095,0.7735783276514298,28.086491741589892,28.62597,16,10,28.62597,0.0449409268,
20,1.771569473215437,1.451853832369141,7.011817092298202,0.6696786339754817,0.7728375656742557,20.500665936952714,22.84,16,10,22.84,0.0306728157,
21,2.1295968454090533,1.8519351928965455,6.421156557183939,0.6499649318007967,0.7612580840643347,17.00821807850111,25.16525,16,9,25.16525,0.0602429761,
22,2.1314907602063093,1.8139124444322667,6.415930072032,0.6483537481303824,0.7617046554049499,24.067987939160577,19.72997,16,9,19.72997,0.0302497412,
23,1.711074261442543,0.5590633127515439,7.223034911069908,0.6751060961241817,0.7825533517144211,27.892434441461905,41.1655,16,9,41.1655,0.0848894808,
24,1.7477918715913274,0.5527727540677275,7.192444451938397,0.6800149407848952,0.7869754111866155,23.898928348189713,42.05937,16,9,42.05937,0.0827321183,
25,1.8714054272765532,0.6738348794358934,7.046161301892221,0.6803555590249785,0.79113666371018,14.335576831193581,29.71996,16,10,29.71996,0.1683724611,
26,1.746990278585618,0.5259227425047486,7.175176690292543,0.6806422607578677,0.787665061014772,19.338857739242133,31.14,16,9,31.14,0.0904069507,
