Geocode,Distance,Busing,Utility,Top1,Top3,Cohesion,NumPeople,NumChoices,NumBusingChoices,Weight,Area,BusingArea
2,1.4728991487193583,1.0329846042476067,6.435777025744362,0.906914,0.99749,2.18527,10.0,11,9,10.0,0.3890154238,
3,1.5425919538444581,1.0765597605233543,6.429108375782212,0.917105,0.997185,0.22286,2.0,11,9,2.0,0.2760310972,
4,1.7025554885855738,1.2001969192333946,6.419020677799094,0.95493,0.99858,2.22506,1.0,11,9,1.0,0.0770043706,
5,1.4648993102762224,1.016382396510523,6.4410403998216115,0.884606,0.991076,7.697988,5.0,11,9,5.0,0.0393096643,
6,1.2889530279493555,0.8900337616665174,6.4432008054596235,0.823832,0.988096,8.20592,5.0,11,9,5.0,0.0458151799,
7,0.8060623667035459,0.607601407074485,6.478551280786807,0.9605607692307693,0.9995884615384616,13.651763076923077,13.0,8,6,13.0,0.0824629737,
8,0.5902913575336569,0.44161038686652687,6.481122681548744,0.9504466666666667,0.9996433333333333,9.147256666666667,3.0,7,5,3.0,0.0761629178,
9,1.6904634677214774,1.195506695735261,6.424499857654661,0.9095857142857143,0.9974371428571429,1.2982114285714286,7.0,12,10,7.0,0.1292183286,
10,1.0900896504155893,0.7728321125426084,6.450036623522191,0.802604,0.993867,9.944214,10.0,11,9,10.0,0.1426939387,
12,1.5128811704531562,0.8252967338874283,6.401689506264022,0.8841085714285715,0.9913814285714285,5.44903,7.0,11,8,7.0,0.2309788326,
13,1.2604472640969848,0.4286624454744919,6.408438952028031,0.84258,0.9931,1.57351,1.0,8,4,1.0,0.1624242913,
14,1.4498779887114959,0.6258991011295876,6.874036832406484,0.8638264705882353,0.9883158823529412,5.207666470588236,17.0,12,7,17.0,0.105658234,
15,1.22664858264873,0.26044066263182236,7.547973123387144,0.959538,0.99872,6.454934,5.0,12,4,5.0,0.1285449537,
16,1.6840057647855453,0.7198485429845536,6.929539939001469,0.9436325,0.9968825,11.280258333333334,12.0,16,11,12.0,0.2043880217,
17,1.1921518517121767,0.6542046167565861,7.328334932131703,0.8671555172413793,0.9687972413793103,12.108368620689655,29.0,18,12,29.0,0.0815861921,
19,0.9679882254646075,0.5371580674256291,7.716713492416192,0.9557526923076923,0.9985953846153847,26.828073076923076,26.0,18,12,26.0,0.0449409268,
20,0.845748467539486,0.44174280799900106,7.747234035429416,0.954478125,0.998594375,21.5035025,16.0,12,6,16.0,0.0306728157,
21,1.2587070621983232,0.5641508023002162,7.036118919164241,0.7410582608695652,0.8961626086956521,19.482724347826085,23.0,17,10,23.0,0.0602429761,
22,1.3417530801446773,0.38135299016983853,6.952904422899279,0.7321292,0.8860644,27.4694848,25.0,16,8,25.0,0.0302497412,
23,1.3722513768311766,0.3717858738103213,6.940688973618654,0.7323255263157895,0.8864165789473685,25.51915736842105,38.0,16,8,38.0,0.0848894808,
24,1.1966175497828733,0.5547153998667259,7.169800056706911,0.8023189189189189,0.9416248648648649,20.579909189189188,37.0,16,9,37.0,0.0827321183,
25,1.4366850634421715,0.7999882804959337,7.115327442895527,0.8061253333333334,0.9459046666666666,10.596710666666667,15.0,17,11,15.0,0.1683724611,
26,1.347051855531955,0.35897830138160947,6.55140594438001,0.6149995454545455,0.8396263636363637,19.206253636363638,22.0,12,4,22.0,0.0904069507,
27,1.185065938832078,0.2644655510956609,7.016536616064947,0.784662,0.924516,8.115064,5.0,14,6,5.0,0.0491357218,
28,1.108642533240002,0.2527317181786355,7.054288984758199,0.7612133333333333,0.9071355555555556,19.775401111111112,9.0,14,6,9.0,0.063622946,
29,1.14528182127456,0.4956101080257853,7.083776252392702,0.758631875,0.90521625,17.78282,16.0,17,10,16.0,0.0687979958,
30,1.0591693797723543,0.49774984709800935,6.790449177433603,0.8306282142857143,0.9592046428571429,17.17984607142857,28.0,14,9,28.0,0.0822935862,
32,0.9067883708021064,0.2797873172303024,7.3220849769399585,0.8751822222222222,0.9879311111111111,11.847594444444445,9.0,11,4,9.0,0.0673395168,
33,0.9979672564529586,0.3043350830154607,7.175231782501153,0.95801,0.998673,12.8509465,20.0,10,4,20.0,0.074885755,
34,1.1006170728373053,0.3174058480497096,7.05029910184321,0.95866125,0.9988375,8.2402575,8.0,10,4,8.0,0.1345103134,
35,0.9459599530449481,0.34627772772250676,6.941046327353579,0.9238091666666667,0.9933991666666667,15.851185,12.0,9,4,12.0,0.1263223079,
37,1.2710278561398398,0.28301910987463336,7.42819481543025,0.9099014285714285,0.99999,15.546722857142857,7.0,6,3,7.0,0.4859835783,
38,1.2972830989722006,0.9619904852302551,6.122016631495773,0.5573725,0.999765,7.32118,4.0,8,6,4.0,0.2872148391,
40,1.4912646115802222,1.2554549815454938,6.0610921855836235,0.43495,0.99958,8.74508,1.0,9,7,1.0,0.0668587256,
41,1.16127294644778,0.9860735795699803,6.071844445795553,0.43775454545454545,0.9997590909090909,24.725996363636362,11.0,8,6,11.0,0.0592136417,
42,1.0715939884746397,0.879603164322419,6.104879803349254,0.5002,0.9998123529411764,21.218911176470588,17.0,7,5,17.0,0.077693665,
43,0.9447224258943882,0.8089220480996078,6.109726675679724,0.4788938888888889,0.9998233333333333,28.40649722222222,18.0,6,4,18.0,0.0548106808,
44,0.8651142484592992,0.24717518122564378,7.811074783492701,0.9078523076923077,0.9999823076923077,27.880374615384614,13.0,6,3,13.0,0.065453603,
45,0.8739610784544777,0.24755501758497506,7.790186774265318,0.903467,0.999993,27.411513,10.0,6,3,10.0,0.0528637719,
