Geocode,Distance,Busing,Utility,Top1,Top3,Cohesion,NumPeople,NumChoices,NumBusingChoices,Weight,Area,BusingArea
1,2.439648480849393,1.8925418803441167,7.256155333688609,0.9504978231181352,0.990930631587548,0.0,0.85673,77,75,0.85673,0.2722748603,
2,1.590704639582376,1.1667122271928922,7.234420183501021,0.8833679206052173,0.9881433632423269,2.0992134894358876,10.00368,11,9,10.00368,0.3890154238,
3,1.6688937188102184,1.2149960659406094,7.2385929823031985,0.8963176037639167,0.9882261145013276,0.0,0.85868,11,9,0.85868,0.2760310972,
4,1.8011983405662118,1.3112858387456885,7.246831527538868,0.9466434772890779,0.9887964573336406,1.7127171384866835,1.43169,11,9,1.43169,0.0770043706,
5,1.6034866096334985,1.1655977278061134,7.199062040896821,0.8730940953448632,0.9749940638149623,6.434898539893109,2.56899,11,9,2.56899,0.0393096643,
6,1.43382424487247,1.0451104475790256,7.199916933369855,0.8178003251764803,0.9733581674864681,6.81443124987137,4.8589,11,9,4.8589,0.0458151799,
7,0.9992890618840999,0.8034315007596919,7.210919432952634,0.940079244734514,0.9893927620989088,13.633227518164738,11.14522,8,6,11.14522,0.0824629737,
8,0.7813915985005189,0.6404364114058431,7.193367116069285,0.9289932028728141,0.9891088502619999,10.118222191118537,3.42939,7,5,3.42939,0.0761629178,
9,1.7990547421844962,1.3229093835240193,7.234956593066407,0.885090190177931,0.9880294627079798,2.1820144514232727,11.4314,12,10,11.4314,0.1292183286,
10,1.2402400326714718,0.9326289833062886,7.210957037288514,0.797676738226403,0.9800537081651757,10.77429987570396,16.29175,11,9,16.29175,0.1426939387,
12,1.6524507842809335,0.9927463110112391,7.205009091187111,0.8226784869510368,0.9754957423322558,8.13654202475755,20.2928,11,8,20.2928,0.2309788326,
13,1.3769219325174569,0.5790918981542782,7.231298681810952,0.8039934400493398,0.9862773681702223,1.6982983375851533,1.42684,8,4,1.42684,0.1624242913,
14,1.5274225767864875,0.7262627960909038,7.783452752121172,0.8208476188057486,0.9828811364040397,7.4732736800223485,17.71905,12,7,17.71905,0.105658234,
15,1.2570368918750179,0.28358712910802625,8.765725937639042,0.9475358211305306,0.9880543746391645,7.1609102095324735,8.57385,12,4,8.57385,0.1285449537,
16,1.7086862117884496,0.7597982651241002,7.9372202922231025,0.9540931363287105,0.9907298940099454,13.021857212236233,14.29002,16,11,14.29002,0.2043880217,
17,1.6335480376742992,1.1189139874579161,7.9234044622264586,0.7927419357096013,0.8860397919405659,13.41984749063226,35.72633,18,12,35.72633,0.0815861921,
19,0.9876045439255196,0.5132178049859264,8.9216066113889,0.9540253894079362,0.9900504562263109,28.060230130214922,28.58121,18,12,28.58121,0.0449409268,
20,0.8540554738519328,0.4148338713179662,8.951980373985029,0.9539999300252784,0.989828299526796,21.690988567879852,22.8654,12,6,22.8654,0.0306728157,
21,2.323850762526708,1.2032563398814882,7.300107873101963,0.665156045004572,0.7425889555917783,18.029162326561444,25.153,17,10,25.153,0.0602429761,
22,2.3475884626317414,0.6590661296754995,7.297785515499148,0.6517415483348182,0.7378319296453923,26.179314394490653,19.72067,16,8,19.72067,0.0302497412,
23,2.3631587948385384,0.6528328591644104,7.292960473878228,0.6492878294444817,0.737904616960505,24.759134889651467,41.15868,16,8,41.15868,0.0848894808,
24,1.9886107347408073,0.7762092009065893,7.358006790838989,0.7187776613375217,0.7834721373646997,20.825896878890735,42.01487,16,9,42.01487,0.0827321183,
25,2.056679367571407,0.9217688124631739,7.384848348673764,0.735170392459777,0.8032907060615685,12.167231075429143,29.72432,17,11,29.72432,0.1683724611,
26,1.892252560396125,0.5912379469099549,7.206476143161726,0.5482472218709011,0.754076911273853,18.562029528515748,31.15226,12,4,31.15226,0.0904069507,
27,2.1716069043713055,0.3651586721386043,7.301066860448397,0.6964605966017948,0.7690928146384224,7.4400240054449664,5.71537,14,6,5.71537,0.0491357218,
