Geocode,Capacity School
0,4022
1,4590
2,4590
3,4590
4,4590
5,4590
6,4590
7,4590
8,4590
9,4590
10,4590
11,4590
12,4590
13,4590
14,4590
15,4590
16,4590
17,4590
18,4590
19,4590
20,4590
21,4590
22,4590
23,4590
24,4590
25,4590
26,4590
27,4590
28,4590
29,4590
30,4590
31,4590
32,4590
33,4590
34,4590
35,4590
36,4590
37,4640
38,4640
39,4640
40,4640
41,4640
42,4640
43,4640
44,4640
45,4640
46,4640
47,4640
48,4640
49,4640
50,4640
51,4640
52,4640
53,4640
54,4640
55,4640
56,4640
57,4640
58,4640
59,4640
60,4640
61,4640
62,4640
63,4640
64,4640
65,4640
66,4640
67,4640
68,4640
69,4640
70,4640
71,4640
72,4640
73,4640
74,4640
75,4640
76,4640
77,4640
78,4640
79,4640
80,4640
81,4640
82,4640
83,4640
84,4640
85,4640
86,4640
87,4640
88,4640
89,4640
90,4640
91,4640
92,4640
93,4640
94,4640
95,4640
96,4590
97,4640
98,4640
99,4640
100,4640
101,4640
102,4640
103,4640
104,4640
105,4640
106,4640
107,4640
108,4640
109,4640
110,4640
111,4640
112,4640
113,4640
114,4640
115,4640
116,4640
117,4640
118,4640
119,4640
120,4640
121,4640
122,4640
123,4640
124,4640
125,4640
126,4640
127,4640
128,4640
129,4640
130,4640
131,4640
132,4640
133,4640
134,4640
135,4640
136,4640
137,4640
138,4640
139,4640
140,4640
141,4640
142,4640
143,4640
144,4640
145,4640
146,4640
147,4640
148,4640
149,4640
150,4640
151,4640
152,4640
153,4640
154,4640
155,4640
156,4640
157,4640
158,4640
159,4640
160,4640
161,4640
162,4640
163,4640
164,4640
165,4640
166,4640
167,4640
168,4640
169,4640
170,4640
171,4640
172,4640
173,4640
174,4022
175,4640
176,4022
177,4640
178,4640
179,4640
180,4052
181,4052
182,4052
183,4052
184,4052
185,4052
186,4022
187,4022
188,4022
189,4022
190,4022
191,4022
192,4022
193,4022
194,4022
195,4022
196,4022
197,4022
198,4022
199,4022
200,4022
201,4022
202,4022
203,4590
204,4022
205,4590
206,4590
207,4590
208,4590
209,4590
210,4590
211,4022
212,4590
213,4022
214,4022
215,4022
216,4022
217,4022
218,4022
219,4022
220,4022
221,4590
222,4590
223,4590
224,4590
225,4590
226,4590
227,4590
228,4590
229,4590
230,4590
231,4590
232,4590
233,4590
234,4590
235,4022
236,4052
237,4052
238,4052
239,4052
240,4052
241,4052
242,4052
243,4052
244,4052
245,4022
246,4052
247,4052
248,4052
249,4250
250,4022
251,4250
252,4250
253,4250
254,4250
255,4250
256,4022
257,4052
258,4052
259,4052
260,4052
261,4052
262,4052
263,4052
264,4052
265,4052
266,4052
267,4052
268,4640
269,4640
270,4640
271,4640
272,4640
273,4640
274,4640
275,4640
276,4640
277,4640
278,4640
279,4242
