Geocode,Weight,Area
1,0.8574547387,0.2722748603
2,10.0036386179,0.3890154238
3,0.8574547387,0.2760310972
4,1.4290912311,0.0770043706
5,2.572364216,0.0393096643
6,4.8589101858,0.0458151799
7,11.1469116028,0.0824629737
8,3.4298189547,0.0761629178
9,11.432729849,0.1292183286
10,16.2916400349,0.1426939387
12,20.293095482,0.2309788326
13,1.4290912311,0.1624242913
14,17.720731266,0.105658234
15,8.5745473868,0.1285449537
16,14.2909123113,0.2043880217
17,35.7272807783,0.0815861921
19,28.5818246226,0.0449409268
20,22.8654596981,0.0306728157
21,25.1520056679,0.0602429761
22,19.7214589896,0.0302497412
23,41.1578274566,0.0848894808
24,42.0152821952,0.0827321183
25,29.7250976075,0.1683724611
26,31.1541888386,0.0904069507
27,5.7163649245,0.0491357218
28,14.2909123113,0.063622946
29,13.7192758189,0.0687979958
30,32.0116435773,0.0822935862
32,11.1469116028,0.0673395168
33,15.4341852962,0.074885755
34,5.4305466783,0.1345103134
35,9.7178203717,0.1263223079
37,10.269540037,0.4859835783
38,6.2758300226,0.2872148391
40,2.8526500103,0.0668587256
41,3.1379150113,0.0592136417
42,21.6801400782,0.077693665
43,17.9716950648,0.0548106808
44,14.5485150525,0.065453603
45,4.8495050175,0.0528637719
46,2.2821200082,0.0279363972
47,3.1379150113,0.0686396077
50,2.5673850093,0.4393009025
51,0.8557950031,0.0440218804
52,2.5673850093,0.0260556025
53,6.2758300226,0.0558638573
54,7.1316250257,0.0797481435
55,6.2758300226,0.062560023
56,5.1347700185,0.0481004189
57,4.8495050175,0.0557190997
58,10.5548050381,0.0738202461
59,3.4231800123,0.1318315334
60,2.5673850093,0.0820260191
61,0.5673650775,0.1370880921
62,4.8226031584,0.0691269666
63,3.120507926,0.0597756515
65,1.1347301549,0.042394767
66,1.9857777711,0.0954591345
67,1.9857777711,0.0504761757
68,0.8510476162,0.0275613924
69,0.5673650775,0.0665836435
70,1.9857777711,0.0769325373
71,0.2836825387,0.0281597779
72,0.8510476162,0.0321325077
76,0.2836825387,0.0350663945
77,0.2836825387,0.0524849122
