geocode,SHAPE_area,SHAPE_len,x,y,Block Group
0,4483781.1133,10484.637222,-71.0495,42.326302,250259812011
1,3980337.3975,8584.807698,-70.991302,42.389999,250259816001
2,5686946.77853,9751.166483,-70.999901,42.3932,250259815021
3,4035249.15249,10863.993012,-70.997597,42.3866,250259816001
4,1125713.09657,4916.481834,-70.998199,42.382702,250250511013
5,574660.939691,3158.82474,-71.001801,42.3848,250250511013
6,669763.905765,3292.273932,-71.004097,42.385601,250250511013
7,1205511.43785,5878.89355,-71.003998,42.388199,250250511011
8,1113412.04883,5488.692328,-71.003197,42.389999,250250511014
9,1889019.59322,5530.631056,-71.008499,42.393101,250250511012
10,2086017.12283,6688.654667,-71.009102,42.3899,250250511012
11,2687918.89459,12442.131206,-71.015099,42.391201,250250510002
12,3376638.16763,9686.297068,-71.014603,42.386902,250250510002
13,2374451.61233,10227.662133,-71.011002,42.3829,250250511013
14,1544598.79133,5298.854177,-71.017097,42.383099,250250510001
15,1879175.64565,7320.348833,-71.021103,42.381302,250250510001
16,2987911.86825,10325.978497,-71.026497,42.382801,250250509013
17,1192693.92353,4835.683108,-71.028,42.380299,250250509011
18,643399.284892,4251.389124,-71.027,42.378601,250250509011
19,656983.355952,3602.330048,-71.031998,42.3783,250250502003
20,448400.39646,3268.903385,-71.031403,42.377102,250250507002
21,880681.273842,4059.586057,-71.034599,42.374901,250250507001
22,442215.546619,3569.005789,-71.036697,42.375198,250250507001
23,1240984.11048,4761.408262,-71.037003,42.3769,250250502002
24,1209446.0146,4509.673949,-71.038002,42.3792,250250501013
25,2461406.84049,8414.033939,-71.036598,42.382401,250250501011
26,1321643.01434,12390.424089,-71.0411,42.378899,250250501012
27,718306.313036,6437.892771,-71.043297,42.370701,250250503002
28,930092.448417,4471.134457,-71.037697,42.372601,250250506001
29,1005745.57344,4914.185032,-71.036903,42.370399,250250506002
30,1203035.19105,4859.008361,-71.035004,42.369499,250250504002
31,4393719.00242,9775.424766,-71.030098,42.373199,250250507003
32,984424.32991,4018.286019,-71.031998,42.368698,250259813002
33,1094741.43418,5436.3729,-71.031799,42.366199,250250512002
34,1966382.17069,14235.908555,-71.033401,42.364498,250250512003
35,1846683.1855,7571.767269,-71.039101,42.366299,250250504002
36,64599924.5793,57672.42044,-71.012497,42.363098,250259813002
37,7104506.85583,25720.641659,-71.059402,42.383301,250250408012
38,4198742.27054,21047.420831,-71.052498,42.375702,250250408013
39,475878.745252,4562.428952,-71.058502,42.371498,250250401001
40,977395.729997,4567.775146,-71.059799,42.373001,250250401001
41,865633.618319,3801.003028,-71.057999,42.3759,250250402002
42,1135789.76735,4966.814142,-71.054901,42.378502,250250402001
43,801267.521962,3820.112469,-71.0578,42.378799,250250408011
44,956854.494137,4147.319307,-71.060204,42.379799,250250403001
45,772806.009558,3808.852265,-71.063004,42.3806,250250403004
46,408397.185767,2614.599584,-71.065399,42.3815,250250406002
47,1003430.12617,4577.250908,-71.068703,42.3829,250250406002
48,858667.027806,4123.590751,-71.073997,42.388199,250250406001
49,951410.863732,4003.482373,-71.074898,42.385899,250250406001
50,6422061.18243,13809.081954,-71.074097,42.379398,250250406001
51,643547.981654,3578.201455,-71.071999,42.3825,250250406001
52,380902.183741,2641.932345,-71.070297,42.3811,250250406002
53,816663.720557,4491.499388,-71.069397,42.379601,250250404011
54,1165823.82045,4264.923064,-71.066498,42.379101,250250403005
55,914553.767382,4044.600775,-71.064201,42.377499,250250403003
56,703171.405597,3953.80493,-71.0625,42.3764,250250403002
57,814547.534627,4375.68007,-71.060799,42.375702,250250401002
58,1079164.95092,4754.31699,-71.067497,42.376099,250250404011
59,1927221.56598,6837.365845,-71.066002,42.372601,250250404012
60,1199123.67635,6210.514528,-71.062599,42.3717,250250401002
61,2004066.2554,10970.643975,-71.0634,42.366901,250250203032
62,1010554.73901,7079.519616,-71.067831585714288,42.365098533333331,250250203011
63,873849.538409,3886.537727,-71.065498,42.3647,250250203012
64,1786016.44112,5268.214654,-71.070099,42.362999,250250203011
65,619761.503247,3176.030496,-71.065498,42.3624,250250203011
66,1395499.98355,6008.077044,-71.070602,42.3601,250250202003
67,737902.168966,3418.944888,-71.066498,42.360199,250250202001
68,402915.056588,2619.72256,-71.064003,42.360401,250250203021
69,973374.354507,4075.708211,-71.071701,42.357101,250250201011
70,1124662.97872,4392.930057,-71.067902,42.3578,250250201013
71,411662.74798,2688.66622,-71.064003,42.358299,250250203021
72,469739.373306,3075.797502,-71.062202,42.359699,250250303003
73,339781.194737,2616.731193,-71.060799,42.359402,250250303003
74,523903.038146,3530.590465,-71.0625,42.362801,250250203032
75,449140.879213,3227.949091,-71.061501,42.364101,250250203032
76,512629.338169,3210.5691,-71.059898,42.3647,250250203032
77,767267.527721,3534.084346,-71.060303,42.361698,250250303003
78,305753.961855,2565.620681,-71.057899,42.362701,250250303003
79,517423.860878,3531.968144,-71.058502,42.366001,250250203032
80,274983.184093,2568.348808,-71.056297,42.366402,250250301002
81,400716.937697,2750.752337,-71.055603,42.367401,250250301001
82,1012272.47465,10107.625009,-71.053497,42.368,250250305001
83,369195.004399,2716.474153,-71.053596,42.3666,250250304001
84,396289.639205,3316.376918,-71.054703,42.364601,250250304001
85,273547.035073,2338.553472,-71.056801,42.365101,250250302001
86,367216.025701,2401.982801,-71.056801,42.363899,250250302001
87,335565.267522,2433.372809,-71.052002,42.365898,250250305002
88,306843.176455,2262.258349,-71.053101,42.364201,250250304001
89,500690.270828,3345.110408,-71.051903,42.363201,250250303002
90,744212.440355,9243.046819,-71.050003,42.364101,250250303001
91,847316.718703,4456.954016,-71.053703,42.362,250250303002
92,512107.767214,2953.255285,-71.058403,42.360001,250250303003
93,543322.753876,3337.516375,-71.056503,42.360802,250250303003
94,490132.879801,2820.424721,-71.054398,42.360199,250250303002
95,585235.023901,5036.346828,-71.051498,42.358799,250250303001
96,745757.3359,8991.864348,-71.049797,42.358501,250250303001
97,329926.853449,2344.521038,-71.059097,42.358398,250250303003
98,356820.543566,2521.251601,-71.057404,42.3577,250250303004
99,207753.580255,2182.573776,-71.056099,42.358002,250250303002
100,375291.26617,2872.812568,-71.054604,42.358002,250250303002
101,448909.003293,3035.921737,-71.053101,42.358501,250250701018
102,469474.685634,3497.773838,-71.061401,42.356899,250250701013
103,252308.048108,2105.269332,-71.059898,42.3573,250250701013
