Geocode,Tally
1,3
2,35
3,3
4,5
5,9
6,17
7,39
8,12
9,40
10,57
12,71
13,5
14,62
15,30
16,50
17,125
19,100
20,80
21,88
22,69
23,144
24,147
25,104
26,109
27,20
28,50
29,48
30,112
32,39
33,54
34,19
35,34
37,36
38,22
40,10
41,11
42,76
43,63
44,51
45,17
46,8
47,11
50,9
51,3
52,9
53,22
54,25
55,22
56,18
57,17
58,37
59,12
60,9
61,2
62,17
63,11
65,4
66,7
67,7
68,3
69,2
70,7
71,1
72,3
76,1
77,1
80,5
81,7
83,13
84,9
85,5
86,6
87,9
88,5
89,16
90,3
91,5
96,11
97,1
98,1
101,1
106,1
111,6
112,5
113,1
115,4
116,39
117,10
118,2
121,3
123,62
124,14
125,1
126,7
127,22
128,3
129,1
135,3
137,1
139,4
140,3
141,1
143,1
145,13
146,7
147,13
149,19
150,16
151,12
152,2
153,6
154,15
155,12
156,18
157,23
158,46
159,13
160,10
161,23
162,26
163,6
164,22
165,14
166,20
167,20
168,7
170,25
171,1
173,3
174,1
178,3
180,8
181,29
182,35
183,32
184,12
185,7
186,8
187,17
188,12
189,3
190,79
191,3
192,44
193,3
194,5
196,32
197,50
198,20
199,1
200,2
201,3
202,2
204,1
206,2
207,1
211,2
212,13
213,4
214,16
215,3
216,13
217,26
218,38
219,38
220,13
221,6
222,7
223,9
224,10
225,4
226,6
227,7
228,6
229,16
230,4
231,10
232,7
233,6
234,11
235,15
236,25
237,37
238,13
239,16
240,20
241,11
242,16
243,8
244,25
245,33
246,25
247,33
248,18
249,19
250,10
251,5
252,5
253,10
254,22
255,21
256,31
257,27
258,31
259,27
260,32
261,27
262,25
263,19
264,28
265,42
266,10
267,39
268,17
269,2
270,6
271,45
272,1
273,34
274,79
275,9
276,51
279,7
280,3
281,38
282,4
283,3
284,18
285,59
286,6
287,7
288,18
289,29
290,1
291,24
292,5
293,9
294,15
295,10
296,21
297,26
298,25
299,4
300,17
301,10
302,3
303,42
304,61
305,24
306,16
307,47
308,27
309,19
310,3
311,47
312,33
313,19
314,12
315,18
316,55
317,38
318,46
319,24
320,38
321,21
322,4
323,5
324,21
325,29
326,56
327,40
328,36
329,36
330,69
331,26
332,62
333,21
334,59
335,25
336,37
337,42
338,30
339,8
340,33
341,23
342,36
343,9
344,24
345,74
346,17
347,66
348,6
349,3
350,31
351,35
352,34
353,8
354,15
355,50
356,18
357,52
358,23
359,24
360,13
361,31
362,21
363,32
364,38
365,27
366,61
367,46
368,23
369,10
370,1
372,4
373,12
374,13
375,1
376,7
377,27
378,29
379,27
380,17
381,4
382,10
383,12
384,8
385,1
387,13
388,11
389,11
390,9
391,10
392,27
393,52
394,12
395,9
396,31
397,29
398,6
399,6
400,9
401,4
402,29
403,33
404,13
405,6
406,8
407,5
408,11
409,18
410,8
411,24
412,33
413,10
414,20
415,6
416,19
417,41
418,41
419,15
420,11
421,43
422,26
423,15
424,11
425,7
426,21
427,44
428,45
429,19
430,10
431,11
432,13
433,6
434,35
435,31
436,27
437,21
438,25
439,34
441,50
442,14
443,18
444,40
445,13
446,20
447,20
448,26
449,5
450,31
451,11
452,15
453,29
