Geocode,Zone
1,East Boston
2,East Boston
3,East Boston
4,East Boston
5,East Boston
6,East Boston
7,East Boston
8,East Boston
9,East Boston
10,East Boston
11,East Boston
12,East Boston
13,East Boston
14,East Boston
15,East Boston
16,East Boston
17,East Boston
18,East Boston
19,East Boston
20,East Boston
21,East Boston
22,East Boston
23,East Boston
24,East Boston
25,East Boston
26,East Boston
27,East Boston
28,East Boston
29,East Boston
30,East Boston
31,East Boston
32,East Boston
33,East Boston
34,East Boston
35,East Boston
36,East Boston
37,Charlestown
38,Charlestown
39,Charlestown
40,Charlestown
41,Charlestown
42,Charlestown
43,Charlestown
44,Charlestown
45,Charlestown
46,Charlestown
47,Charlestown
48,Charlestown
49,Charlestown
50,Charlestown
51,Charlestown
52,Charlestown
53,Charlestown
54,Charlestown
55,Charlestown
56,Charlestown
57,Charlestown
58,Charlestown
59,Charlestown
60,Charlestown
61,Downtown
62,Downtown
63,Downtown
64,Downtown
65,Downtown
66,Downtown
67,Downtown
68,Downtown
69,Downtown
70,Downtown
71,Downtown
72,Downtown
73,Downtown
74,Downtown
75,Downtown
76,Downtown
77,Downtown
78,Downtown
79,Downtown
80,Downtown
81,Downtown
82,Downtown
83,Downtown
84,Downtown
85,Downtown
86,Downtown
87,Downtown
88,Downtown
89,Downtown
90,Downtown
91,Downtown
92,Downtown
93,Downtown
94,Downtown
95,Downtown
96,Downtown
97,Downtown
98,Downtown
99,Downtown
100,Downtown
101,Downtown
102,Downtown
103,Downtown
104,Downtown
105,Downtown
106,Downtown
107,Downtown
108,Downtown
109,Downtown
110,Downtown
111,Downtown
112,Downtown
113,Downtown
114,Downtown
115,Downtown
116,Downtown
117,Downtown
118,Downtown
119,Downtown
120,Downtown
121,Downtown
122,Downtown
123,Downtown
124,Downtown
125,Downtown
126,Downtown
127,Downtown
128,Downtown
129,Downtown
130,Downtown
131,Downtown
132,Downtown
133,Downtown
134,Downtown
135,Downtown
136,Downtown
137,Downtown
138,Downtown
139,Downtown
140,Downtown
141,Downtown
142,Downtown
143,Downtown
144,Downtown
145,Downtown
146,Downtown
147,South End
148,South End
149,South End
150,South End
151,South End
152,South End
153,South End
154,South End
155,South End
156,South End
157,South End
158,South End
159,South End
160,South End
161,South End
162,South End
163,South End
164,South End
165,South End
166,South End
167,South End
168,South End
169,South End
170,South End
171,South End
172,South End
173,Downtown
174,South Boston
175,North Dorchester
176,North Dorchester
177,North Dorchester
178,Roxbury
179,Roxbury
180,Roxbury
181,Roxbury
182,Roxbury
183,Roxbury
184,North Dorchester
185,North Dorchester
186,North Dorchester
187,North Dorchester
188,North Dorchester
189,North Dorchester
190,South Boston
191,South Boston
192,South Boston
193,South Boston
194,South Boston
195,South Boston
196,South Boston
197,South Boston
198,South Boston
199,South Boston
200,South Boston
201,South Boston
202,South Boston
203,South Boston
204,South Boston
205,South Boston
206,South Boston
207,South Boston
208,South Boston
209,South Boston
210,South Boston
211,South Boston
212,South Boston
213,South Boston
214,South Boston
215,South Boston
216,South Boston
217,South Boston
218,South Boston
219,South Boston
220,South Boston
221,South Boston
222,South Boston
223,South Boston
224,South Boston
225,South Boston
226,South Boston
227,South Boston
228,South Boston
229,South Boston
230,South Boston
