Neighborhood,Mean,Standard Deviation
Allston-Brighton,0.0476926713,0.0018018057
Charlestown,0.0324188524,0.0023714009
Downtown,0.0318411757,0.0038507623
East Boston,0.1335200381,0.0075806163
Hyde Park,0.0587836407,0.0022257369
Jamaica Plain,0.057038022,0.0023235136
Mattapan,0.075939459,0.0024612895
North Dorchester,0.0521659819,0.0046674965
Roslindale,0.0770723634,0.0047533526
Roxbury,0.1492525821,0.0095989737
South Boston,0.0350592981,0.0013556586
South Dorchester,0.1379148016,0.0064810526
South End,0.0474596961,0.0022015256
West Roxbury,0.0638414176,0.0040459693
