School Code,School Name,School Label,Geocode,Quality,Quality-old,K2 Capacity
4022,Perkins Elementary,Perkins,217,1.2817729075,1.2867787049,33
4030,Beethoven Elementary,Beethoven,712,3.5453566199,3.3412039995,89
4031,Kilmer K-8 (K-3),Kilmer,717,3.8221361645,3.2813297602,58
4052,Winthrop Elementary,Winthrop,324,0.7131445932,0.4065275411,53
4053,Hernandez K-8,Hernandez,572,2.3386533222,1.6395306382,50
4055,King K-8,King,328,0.5770591513,0.0530696632,49
4061,Guild Elementary,Guild,7,2.2410274366,1.7277316406,31
4062,Bradley Elementary,Bradley,8,2.6238440391,2.3844338471,46
4070,Chittick Elementary,Chittick,486,0.8226560277,0.7463553468,44
4080,Conley Elementary,Conley,553,2.713630543,1.7455561534,23
4081,Bates Elementary,Bates,668,2.357123756,1.7802930737,46
4082,Mozart Elementary,Mozart,683,2.6635347415,2.0735240466,23
4084,Holmes Elementary,Holmes,453,0.7501302769,0.4668012813,50
4100,Dever Elementary,Dever,843,1.2090246211,1.7920392288,75
4113,Hale Elementary,Hale,293,1.9410091126,0.7315556579,23
4121,Mason Elementary,Mason,181,2.0389071805,0.9551978377,30
4123,Dudley Street Neighborhood Charter School,Dudley,181,1.9131369609,1.4534280153,40
4130,Greenwood Sarah K-8,S. Greenwood,835,1.4321128272,1.0614442629,50
4140,Everett Elementary,Everett,823,1.287016714,1.5391218252,44
4151,Taylor Elementary,Taylor,413,1.1694580012,0.8384067762,81
4160,Gardner Pilot Academy,Gardner,810,3.4531516088,2.4742742754,34
4171,Lyon K-8,Lyon K-8,760,3.5735176194,2.6140255657,11
4173,Winship Elementary,Winship,771,3.2735090967,2.2856569097,35
4178,Edison K-8,Edison,750,3.0243534124,2.0964243851,64
4190,E Greenwood Leadership,E Greenwood,492,1.0733727433,1.598924758,53
4193,Roosevelt K-8 (K1-1),Roosevelt,527,3.1997397167,3.1122104496,38
4200,Grew Elementary,Grew,543,0.8393957476,1.6882463242,44
4201,Channing Elementary,Channing,539,0.6642292552,1.7753605305,44
4210,Haley Elementary,Haley,503,2.065622009,2.1284894528,36
4230,Hennigan Elementary,Hennigan,583,1.7295529501,1.2461854941,75
4231,West Zone ELC,West Zone ELC,583,1.466825506,1.1589184302,31
4240,Ellis Elementary,Ellis,316,0.7215952172,0.1050465867,64
4242,Higginson/Lewis K-8,Higginson/Lewis,305,0.3249356803,0,46
4250,Holland Elementary,Holland,337,1.1440315058,1.0869003785,117
4260,Hurley K-8,Hurley,156,2.36495012,2.3070609843,45
4270,Kennedy John F Elementary,J.F. Kennedy,579,2.0850825215,1.1109786911,66
4272,Curley K-8,Curley,635,2.8267717979,2.2170229664,67
4280,Harvard/Kent Elementary,Harvard/Kent,41,2.4390032469,2.3632841187,106
4283,Warren/Prescott K-8,Warren/Prescott,55,3.5784732213,2.9244026313,66
4285,Mission Hill K-8,Mission Hill,648,3.2624956611,2.2796860541,21
4290,Lee Elementary,Lee E,439,1.6434656137,0.0555490974,44
4291,Lee Academy,Lee A,439,1.4584173126,1.2877825148,40
4311,Manning Elementary,Manning,656,3.3906626967,2.2360787828,21
4322,Otis Elementary,Otis,22,2.587560003,2.0569509776,63
4323,Mario Umana Academy,Mario Umana,26,2.0558714515,2.2181076057,63
4331,Lyndon K-8,Lyndon,734,4.3914644779,3.0115340345,52
4345,UP Academy Dorchester,UP Acad. Dor.,357,1.9919857067,1.2522020725,79
4350,Mather Elementary,Mather,339,1.8441435301,1.3677705583,89
4360,McKay K-8,McKay,30,2.541660478,2.2928523425,67
4361,Adams Elementary,Adams,34,1.910756336,1.9490258857,42
4370,Mendell Elementary,Mendell,577,1.9342361991,1.5899909602,37
4381,Eliot K-8,Eliot,83,3.6329509656,3.0373713064,54
4390,Kenny Elementary,Kenny,379,1.6370771018,0.7151122258,28
4391,Henderson Elementary,Henderson,361,2.3585738445,1.5641514518,18
4400,Murphy K-8,Murphy,369,3.0548451026,2.4053793357,64
4440,Ellison/Parks EES,Ellison/Parks,424,1.8822675113,1.909551484,35
4450,East Boston EEC,East Boston EEC,30,2.3211251073,2.4379477605,46
4460,Haynes EEC,Haynes,311,1.8292341245,1.2775723606,65
4530,Russell Elementary,Russell,236,1.1126196662,1.1850008024,42
4531,Clap Innovation School,Clap,187,1.8147676572,1.5578441101,22
4541,Kennedy Patrick Elementary,Kennedy Patrick,19,2.2311617119,2.0690115884,47
4543,O'Donnell Elementary,O'Donnell,24,1.9454452755,1.6346990147,43
4560,Sumner Elementary,Sumner,562,2.4178366085,1.2906792964,116
4561,Philbrick Elementary,Philbrick,502,2.3757024122,1.8716151282,24
4570,Tobin K-8,Tobin,601,1.2203867119,0.8040202688,42
4580,Trotter Elementary,Trotter,312,1.3994177705,0.8962763004,93
4590,Tynan Elementary,Tynan,226,1.4074053731,1.5636784119,27
4592,Perry K-8,Perry,231,2.6596892738,2.7165339841,22
4600,Young Achievers K-8,Young Achievers,468,1.9892881263,2.1681981968,49
4620,Jackson/Mann K-8,Jackson/Mann,795,2.7800627531,1.2311891091,61
4621,Baldwin ELC,Baldwin,786,3.0882094694,2.7199581397,44
4630,Condon Elementary,Condon,853,2.0295525593,1.818810459,99
4640,Blackstone Elementary,Blackstone,166,1.8690006098,1.5056483795,67
4650,Quincy Elementary,Quincy,127,2.9276511906,2.7650196657,116
4661,BTU K-8 Pilot,BTU,508,3.1381746386,2.7099005889,23
4680,Orchard Gardens K-8,Orchard Gardens,269,2.1218690317,1.7977377354,73
4690,Mattahunt Elementary,Mattahunt,473,0.7849136442,0.7849136442,61
