Geocode,School
1,4061
1,4062
2,4061
2,4062
3,4061
3,4062
4,4061
4,4062
5,4061
5,4062
6,4061
6,4062
7,4061
7,4062
8,4061
8,4062
9,4061
9,4062
10,4061
10,4062
11,4061
11,4062
11,4322
11,4541
11,4543
12,4061
12,4062
12,4541
13,4061
13,4062
13,4322
13,4541
14,4061
14,4062
14,4322
14,4541
14,4543
15,4061
15,4062
15,4322
15,4360
15,4361
15,4450
15,4541
15,4543
16,4061
16,4062
16,4322
16,4360
16,4450
16,4541
16,4543
17,4322
17,4360
17,4361
17,4450
17,4541
17,4543
18,4322
18,4360
18,4361
18,4450
18,4541
18,4543
19,4322
19,4360
19,4361
19,4450
19,4541
19,4543
20,4322
20,4360
20,4361
20,4450
20,4541
20,4543
21,4322
21,4360
21,4361
21,4381
21,4450
21,4541
21,4543
22,4280
22,4322
22,4360
22,4361
22,4381
22,4450
22,4541
22,4543
23,4280
23,4322
23,4360
23,4361
23,4381
23,4450
23,4541
23,4543
24,4280
24,4322
24,4360
24,4361
24,4450
24,4541
24,4543
25,4280
25,4322
25,4360
25,4450
25,4541
25,4543
26,4280
26,4322
26,4360
26,4361
26,4381
26,4450
26,4541
26,4543
27,4280
27,4322
27,4360
27,4361
27,4381
27,4450
27,4541
27,4543
28,4280
28,4322
28,4360
28,4361
28,4381
28,4450
28,4541
28,4543
29,4322
29,4360
29,4361
29,4381
29,4450
29,4541
29,4543
30,4322
30,4360
30,4361
30,4381
30,4450
30,4541
30,4543
31,4322
31,4360
31,4361
31,4450
31,4541
31,4543
32,4322
32,4360
32,4361
32,4381
32,4450
32,4541
32,4543
33,4322
33,4360
33,4361
33,4381
33,4450
33,4541
33,4543
34,4322
34,4360
34,4361
34,4381
34,4450
34,4541
34,4543
35,4322
35,4360
35,4361
35,4381
35,4450
35,4541
35,4543
36,4061
36,4062
36,4322
36,4360
36,4361
36,4450
36,4541
36,4543
37,4280
37,4283
37,4322
37,4381
37,4450
37,4541
37,4543
38,4280
38,4283
38,4322
38,4360
38,4361
38,4381
38,4450
38,4541
38,4543
39,4280
39,4283
39,4381
40,4280
40,4283
40,4381
41,4280
41,4283
41,4381
41,4543
42,4280
42,4283
42,4322
42,4381
42,4543
43,4280
43,4283
43,4381
43,4543
44,4280
44,4283
44,4381
45,4280
45,4283
45,4381
46,4280
46,4283
47,4280
47,4283
48,4280
48,4283
48,4322
48,4541
48,4543
49,4280
49,4283
50,4280
50,4283
50,4381
51,4280
51,4283
52,4280
52,4283
53,4280
53,4283
54,4280
54,4283
55,4280
55,4283
55,4381
56,4280
56,4283
56,4381
57,4280
57,4283
57,4381
58,4280
58,4283
58,4381
59,4280
59,4283
59,4381
60,4280
60,4283
60,4381
61,4280
61,4283
61,4381
62,4280
62,4283
62,4381
63,4280
63,4283
63,4381
64,4381
64,4650
65,4381
65,4650
66,4381
66,4650
67,4381
67,4650
68,4381
68,4650
69,4640
69,4650
70,4381
70,4650
71,4381
71,4650
72,4381
72,4650
73,4381
73,4650
74,4280
74,4283
74,4381
74,4650
75,4280
75,4283
75,4381
76,4280
76,4283
76,4381
77,4280
77,4381
77,4650
78,4280
78,4283
78,4381
78,4650
79,4280
79,4283
79,4381
80,4280
80,4283
80,4381
81,4280
81,4283
81,4381
82,4280
82,4283
82,4322
82,4360
82,4361
82,4381
82,4450
82,4543
83,4280
83,4283
83,4360
83,4361
83,4381
83,4450
84,4280
84,4283
84,4361
84,4381
85,4280
85,4283
85,4381
86,4280
86,4283
86,4381
87,4280
87,4283
87,4360
87,4361
87,4381
87,4450
88,4280
88,4360
88,4361
88,4381
89,4280
89,4360
89,4361
89,4381
89,4450
90,4280
90,4360
90,4361
90,4381
90,4450
91,4280
91,4361
91,4381
92,4381
92,4650
93,4280
93,4381
93,4650
94,4381
94,4650
95,4361
95,4381
95,4650
96,4360
96,4361
96,4381
96,4450
96,4650
97,4381
97,4650
98,4381
98,4650
99,4381
99,4650
100,4381
100,4650
101,4381
101,4650
102,4381
102,4650
103,4381
103,4650
104,4381
104,4650
105,4381
105,4650
106,4381
106,4650
107,4381
107,4650
108,4381
108,4650
109,4381
109,4650
110,4381
110,4650
111,4381
111,4640
111,4650
112,4381
112,4640
112,4650
113,4381
113,4640
113,4650
114,4381
114,4630
114,4650
115,4630
115,4640
115,4650
116,4630
116,4640
116,4650
117,4640
117,4650
118,4260
118,4640
118,4650
119,4381
119,4640
119,4650
120,4260
120,4640
120,4650
121,4260
121,4640
121,4650
122,4260
122,4640
122,4650
123,4260
123,4630
123,4640
123,4650
124,4260
124,4630
124,4640
124,4650
125,4260
125,4640
125,4650
126,4260
126,4640
126,4650
127,4260
127,4630
127,4640
127,4650
128,4260
128,4640
128,4650
129,4260
129,4640
129,4650
130,4260
130,4640
130,4650
131,4260
131,4640
131,4650
132,4260
132,4640
132,4650
133,4260
133,4640
133,4650
134,4260
134,4640
134,4650
135,4260
135,4640
135,4650
136,4260
136,4640
136,4650
137,4260
137,4640
137,4650
138,4260
138,4640
138,4650
139,4260
139,4640
140,4260
140,4640
141,4260
141,4640
142,4260
142,4640
143,4260
143,4640
143,4650
144,4260
144,4570
144,4640
144,4650
144,4680
145,4260
145,4570
145,4640
145,4650
145,4680
146,4260
146,4640
146,4650
146,4680
147,4260
147,4570
147,4640
147,4650
147,4680
148,4260
148,4640
148,4650
148,4680
149,4260
149,4640
149,4650
149,4680
150,4260
150,4640
150,4650
150,4680
151,4260
151,4640
151,4650
152,4260
152,4640
152,4650
152,4680
153,4260
153,4640
153,4650
153,4680
154,4260
154,4640
154,4650
154,4680
155,4260
155,4570
155,4640
155,4650
155,4680
156,4121
156,4260
156,4570
156,4640
156,4650
156,4680
157,4121
157,4260
157,4640
157,4650
157,4680
158,4121
158,4260
158,4640
158,4650
158,4680
159,4260
159,4630
159,4640
159,4650
159,4680
160,4260
160,4630
160,4640
160,4650
160,4680
161,4260
161,4630
161,4640
161,4650
162,4022
162,4260
162,4630
162,4640
162,4650
163,4260
163,4630
163,4640
163,4650
163,4680
164,4121
164,4260
164,4630
164,4640
164,4650
164,4680
165,4022
165,4121
165,4260
165,4630
165,4640
165,4650
165,4680
166,4121
166,4260
166,4630
166,4640
166,4650
166,4680
167,4022
167,4121
